"DateAndTime","OS_Corr130A (Bloomberg-1 West-Corridor 130) Occupancy","",
"2016-08-28 00:10:27","0","",
"2016-08-28 01:10:34","0","",
"2016-08-28 02:10:42","0","",
"2016-08-28 03:10:50","0","",
"2016-08-28 04:10:58","0","",
"2016-08-28 05:11:05","0","",
"2016-08-28 06:11:14","0","",
"2016-08-28 07:11:22","0","",
"2016-08-28 08:11:30","0","",
"2016-08-28 08:28:45","1","",
"2016-08-28 08:38:49","0","",
"2016-08-28 08:51:16","1","",
"2016-08-28 08:54:30","1","",
"2016-08-28 09:01:04","1","",
"2016-08-28 09:11:08","0","",
"2016-08-28 09:31:11","0","",
"2016-08-28 10:12:57","1","",
"2016-08-28 10:14:58","1","",
"2016-08-28 10:17:05","1","",
"2016-08-28 10:19:09","1","",
"2016-08-28 10:24:55","1","",
"2016-08-28 10:34:59","0","",
"2016-08-28 10:49:19","1","",
"2016-08-28 10:53:43","1","",
"2016-08-28 11:03:46","0","",
"2016-08-28 11:06:01","1","",
"2016-08-28 11:08:04","1","",
"2016-08-28 11:15:20","1","",
"2016-08-28 11:25:24","0","",
"2016-08-28 11:26:31","1","",
"2016-08-28 11:33:43","1","",
"2016-08-28 11:43:47","0","",
"2016-08-28 11:52:45","1","",
"2016-08-28 11:55:33","1","",
"2016-08-28 12:05:38","0","",
"2016-08-28 12:25:42","0","",
"2016-08-28 12:30:10","1","",
"2016-08-28 12:38:16","1","",
"2016-08-28 12:40:23","1","",
"2016-08-28 12:42:46","1","",
"2016-08-28 12:45:16","1","",
"2016-08-28 12:47:25","1","",
"2016-08-28 12:49:25","1","",
"2016-08-28 12:59:29","0","",
"2016-08-28 13:19:34","0","",
"2016-08-28 13:43:04","1","",
"2016-08-28 13:47:57","1","",
"2016-08-28 13:49:57","1","",
"2016-08-28 13:53:10","1","",
"2016-08-28 13:55:42","1","",
"2016-08-28 13:59:08","1","",
"2016-08-28 14:01:35","1","",
"2016-08-28 14:11:39","0","",
"2016-08-28 14:19:53","1","",
"2016-08-28 14:22:16","1","",
"2016-08-28 14:30:49","1","",
"2016-08-28 14:38:45","1","",
"2016-08-28 14:48:49","0","",
"2016-08-28 14:49:32","1","",
"2016-08-28 14:53:23","1","",
"2016-08-28 15:03:26","0","",
"2016-08-28 15:17:35","1","",
"2016-08-28 15:27:39","0","",
"2016-08-28 15:36:37","1","",
"2016-08-28 15:40:06","1","",
"2016-08-28 15:47:34","1","",
"2016-08-28 15:54:02","1","",
"2016-08-28 15:58:36","1","",
"2016-08-28 16:08:39","0","",
"2016-08-28 16:28:43","0","",
"2016-08-28 16:28:45","1","",
"2016-08-28 16:38:48","0","",
"2016-08-28 16:42:59","1","",
"2016-08-28 16:50:46","1","",
"2016-08-28 17:00:50","0","",
"2016-08-28 17:12:43","1","",
"2016-08-28 17:21:18","1","",
"2016-08-28 17:26:16","1","",
"2016-08-28 17:36:19","0","",
"2016-08-28 17:56:23","0","",
"2016-08-28 19:01:45","1","",
"2016-08-28 19:11:02","1","",
"2016-08-28 19:21:06","0","",
"2016-08-28 19:28:02","1","",
"2016-08-28 19:38:05","0","",
"2016-08-28 19:42:42","1","",
"2016-08-28 19:52:45","0","",
"2016-08-28 19:58:48","1","",
"2016-08-28 20:08:52","0","",
"2016-08-28 20:28:55","0","",
"2016-08-28 21:03:52","1","",
"2016-08-28 21:13:55","0","",
"2016-08-28 21:33:21","1","",
"2016-08-28 21:43:25","0","",
"2016-08-28 21:50:42","1","",
"2016-08-28 22:00:45","0","",
"2016-08-28 22:16:00","1","",
"2016-08-28 22:18:35","1","",
"2016-08-28 22:28:39","0","",
"2016-08-28 22:41:14","1","",
"2016-08-28 22:51:17","0","",
"2016-08-28 23:11:20","0","",
"2016-08-29 00:11:28","0","",
"2016-08-29 01:11:37","0","",
"2016-08-29 02:11:46","0","",
"2016-08-29 03:11:54","0","",
"2016-08-29 04:12:03","0","",
"2016-08-29 05:12:11","0","",
"2016-08-29 06:12:20","0","",
"2016-08-29 06:53:59","1","",
"2016-08-29 07:04:02","0","",
"2016-08-29 07:11:17","1","",
"2016-08-29 07:19:41","1","",
"2016-08-29 07:22:36","1","",
"2016-08-29 07:32:39","0","",
"2016-08-29 07:52:42","0","",
"2016-08-29 08:52:51","0","",
"2016-08-29 09:44:32","1","",
"2016-08-29 09:54:36","0","",
"2016-08-29 10:14:39","0","",
"2016-08-29 10:26:40","1","",
"2016-08-29 10:29:49","1","",
"2016-08-29 10:32:45","1","",
"2016-08-29 10:39:06","1","",
"2016-08-29 10:41:34","1","",
"2016-08-29 10:51:38","0","",
"2016-08-29 11:04:32","1","",
"2016-08-29 11:06:32","1","",
"2016-08-29 11:16:13","1","",
"2016-08-29 11:26:17","0","",
"2016-08-29 11:41:31","1","",
"2016-08-29 11:51:35","0","",
"2016-08-29 11:56:10","1","",
"2016-08-29 12:06:14","0","",
"2016-08-29 12:11:11","1","",
"2016-08-29 12:21:15","0","",
"2016-08-29 12:21:30","1","",
"2016-08-29 12:31:34","0","",
"2016-08-29 12:51:38","0","",
"2016-08-29 12:52:08","1","",
"2016-08-29 13:02:12","0","",
"2016-08-29 13:22:16","0","",
"2016-08-29 13:48:02","1","",
"2016-08-29 13:58:06","0","",
"2016-08-29 13:59:00","1","",
"2016-08-29 14:05:48","1","",
"2016-08-29 14:15:52","0","",
"2016-08-29 14:24:23","1","",
"2016-08-29 14:34:27","0","",
"2016-08-29 14:54:30","0","",
"2016-08-29 15:54:41","0","",
"2016-08-29 16:09:47","1","",
"2016-08-29 16:14:46","1","",
"2016-08-29 16:17:06","1","",
"2016-08-29 16:21:48","1","",
"2016-08-29 16:31:52","0","",
"2016-08-29 16:38:40","1","",
"2016-08-29 16:41:34","1","",
"2016-08-29 16:51:37","0","",
"2016-08-29 16:53:18","1","",
"2016-08-29 17:03:21","0","",
"2016-08-29 17:14:42","1","",
"2016-08-29 17:18:46","1","",
"2016-08-29 17:21:01","1","",
"2016-08-29 17:31:04","0","",
"2016-08-29 17:53:40","1","",
"2016-08-29 18:01:06","1","",
"2016-08-29 18:04:20","1","",
"2016-08-29 18:14:24","0","",
"2016-08-29 18:33:09","1","",
"2016-08-29 18:36:47","1","",
