"DateAndTime","OS_Corr264 (Bloomberg-2 East-Corridor 200E) Occupancy","",
"2016-08-28 00:08:50","0","",
"2016-08-28 00:18:40","0","",
"2016-08-28 00:28:31","0","",
"2016-08-28 00:38:21","0","",
"2016-08-28 00:48:11","0","",
"2016-08-28 00:54:45","1","",
"2016-08-28 00:56:33","0","",
"2016-08-28 01:06:22","0","",
"2016-08-28 01:16:13","0","",
"2016-08-28 01:26:03","0","",
"2016-08-28 01:35:53","0","",
"2016-08-28 01:45:43","0","",
"2016-08-28 01:55:33","0","",
"2016-08-28 02:05:23","0","",
"2016-08-28 02:15:13","0","",
"2016-08-28 02:25:03","0","",
"2016-08-28 02:34:53","0","",
"2016-08-28 02:44:44","0","",
"2016-08-28 02:54:34","0","",
"2016-08-28 03:04:24","0","",
"2016-08-28 03:14:14","0","",
"2016-08-28 03:24:04","0","",
"2016-08-28 03:33:54","0","",
"2016-08-28 03:43:44","0","",
"2016-08-28 03:53:34","0","",
"2016-08-28 04:03:23","0","",
"2016-08-28 04:13:13","0","",
"2016-08-28 04:23:03","0","",
"2016-08-28 04:32:53","0","",
"2016-08-28 04:42:43","0","",
"2016-08-28 04:52:34","0","",
"2016-08-28 05:02:23","0","",
"2016-08-28 05:12:13","0","",
"2016-08-28 05:22:03","0","",
"2016-08-28 05:31:53","0","",
"2016-08-28 05:41:43","0","",
"2016-08-28 05:51:33","0","",
"2016-08-28 06:01:22","0","",
"2016-08-28 06:11:12","0","",
"2016-08-28 06:21:02","0","",
"2016-08-28 06:30:51","0","",
"2016-08-28 06:40:41","0","",
"2016-08-28 06:50:31","0","",
"2016-08-28 07:00:21","0","",
"2016-08-28 07:10:11","0","",
"2016-08-28 07:20:01","0","",
"2016-08-28 07:29:51","0","",
"2016-08-28 07:39:41","0","",
"2016-08-28 07:49:31","0","",
"2016-08-28 07:59:21","0","",
"2016-08-28 08:09:10","0","",
"2016-08-28 08:19:00","0","",
"2016-08-28 08:28:50","0","",
"2016-08-28 08:38:40","0","",
"2016-08-28 08:48:30","0","",
"2016-08-28 08:58:20","0","",
"2016-08-28 09:08:10","0","",
"2016-08-28 09:18:00","0","",
"2016-08-28 09:27:50","0","",
"2016-08-28 09:37:41","0","",
"2016-08-28 09:47:31","0","",
"2016-08-28 09:57:21","0","",
"2016-08-28 10:07:11","0","",
"2016-08-28 10:17:01","0","",
"2016-08-28 10:26:51","0","",
"2016-08-28 10:36:42","0","",
"2016-08-28 10:44:19","1","",
"2016-08-28 10:46:07","0","",
"2016-08-28 10:52:54","1","",
"2016-08-28 10:54:41","0","",
"2016-08-28 11:04:31","0","",
"2016-08-28 11:14:21","0","",
"2016-08-28 11:17:10","1","",
"2016-08-28 11:18:57","0","",
"2016-08-28 11:20:06","1","",
"2016-08-28 11:21:20","1","",
"2016-08-28 11:23:07","0","",
"2016-08-28 11:27:53","1","",
"2016-08-28 11:29:40","0","",
"2016-08-28 11:33:06","1","",
"2016-08-28 11:34:54","0","",
"2016-08-28 11:42:05","1","",
"2016-08-28 11:43:53","0","",
"2016-08-28 11:52:57","1","",
"2016-08-28 11:54:45","0","",
"2016-08-28 12:04:35","0","",
"2016-08-28 12:14:25","0","",
"2016-08-28 12:24:15","0","",
"2016-08-28 12:29:46","1","",
"2016-08-28 12:31:34","0","",
"2016-08-28 12:41:24","0","",
"2016-08-28 12:47:42","1","",
"2016-08-28 12:49:29","0","",
"2016-08-28 12:59:20","0","",
"2016-08-28 13:09:10","0","",
"2016-08-28 13:19:01","0","",
"2016-08-28 13:28:51","0","",
"2016-08-28 13:38:41","0","",
"2016-08-28 13:48:31","0","",
"2016-08-28 13:58:21","0","",
"2016-08-28 14:08:11","0","",
"2016-08-28 14:18:02","0","",
"2016-08-28 14:27:52","0","",
"2016-08-28 14:37:42","0","",
"2016-08-28 14:47:33","0","",
"2016-08-28 14:47:50","1","",
"2016-08-28 14:49:37","0","",
"2016-08-28 14:59:28","0","",
"2016-08-28 15:09:17","0","",
"2016-08-28 15:19:07","0","",
"2016-08-28 15:28:57","0","",
"2016-08-28 15:35:55","1","",
"2016-08-28 15:37:42","0","",
"2016-08-28 15:47:32","0","",
"2016-08-28 15:57:22","0","",
"2016-08-28 16:02:46","1","",
"2016-08-28 16:04:33","0","",
"2016-08-28 16:14:24","0","",
"2016-08-28 16:24:14","0","",
"2016-08-28 16:29:25","1","",
"2016-08-28 16:30:34","1","",
"2016-08-28 16:32:21","0","",
"2016-08-28 16:38:04","1","",
"2016-08-28 16:39:52","0","",
"2016-08-28 16:41:18","1","",
"2016-08-28 16:43:05","0","",
"2016-08-28 16:52:55","0","",
"2016-08-28 16:59:33","1","",
"2016-08-28 17:01:20","0","",
"2016-08-28 17:11:11","0","",
"2016-08-28 17:21:01","0","",
"2016-08-28 17:30:52","0","",
"2016-08-28 17:40:24","1","",
"2016-08-28 17:42:12","0","",
"2016-08-28 17:46:20","1","",
"2016-08-28 17:48:07","0","",
"2016-08-28 17:51:33","1","",
"2016-08-28 17:53:20","0","",
"2016-08-28 18:03:10","0","",
"2016-08-28 18:13:00","0","",
"2016-08-28 18:22:43","1","",
"2016-08-28 18:24:31","0","",
"2016-08-28 18:34:21","0","",
"2016-08-28 18:44:12","0","",
"2016-08-28 18:54:02","0","",
"2016-08-28 19:03:52","0","",
"2016-08-28 19:13:42","0","",
"2016-08-28 19:14:44","1","",
"2016-08-28 19:16:31","0","",
"2016-08-28 19:18:15","1","",
"2016-08-28 19:20:02","0","",
"2016-08-28 19:24:43","1","",
"2016-08-28 19:26:30","0","",
"2016-08-28 19:27:04","1","",
"2016-08-28 19:28:52","0","",
"2016-08-28 19:38:42","0","",
"2016-08-28 19:39:15","1","",
"2016-08-28 19:40:48","1","",
"2016-08-28 19:41:54","1","",
"2016-08-28 19:43:42","0","",
"2016-08-28 19:44:01","1","",
"2016-08-28 19:45:48","0","",
"2016-08-28 19:55:17","1","",
"2016-08-28 19:57:04","0","",
"2016-08-28 20:06:55","0","",
"2016-08-28 20:16:46","0","",
"2016-08-28 20:25:13","1","",
"2016-08-28 20:27:01","0","",
"2016-08-28 20:36:51","0","",
"2016-08-28 20:46:42","0","",
"2016-08-28 20:53:43","1","",
"2016-08-28 20:55:30","0","",
"2016-08-28 20:56:54","1","",
"2016-08-28 20:57:59","1","",
"2016-08-28 20:59:47","0","",
"2016-08-28 21:09:37","0","",
"2016-08-28 21:17:22","1","",
"2016-08-28 21:19:09","0","",
"2016-08-28 21:23:33","1","",
"2016-08-28 21:25:20","0","",
"2016-08-28 21:35:10","0","",
"2016-08-28 21:45:01","0","",
"2016-08-28 21:50:52","1","",
"2016-08-28 21:52:40","0","",
"2016-08-28 21:56:53","1","",
"2016-08-28 21:57:52","1","",
"2016-08-28 21:59:39","0","",
"2016-08-28 22:05:15","1","",
"2016-08-28 22:06:33","1","",
"2016-08-28 22:07:31","1","",
"2016-08-28 22:08:40","1","",
"2016-08-28 22:10:27","0","",
"2016-08-28 22:15:34","1","",
"2016-08-28 22:17:22","0","",
"2016-08-28 22:27:12","0","",
"2016-08-28 22:30:54","1","",
"2016-08-28 22:32:42","0","",
"2016-08-28 22:32:45","1","",
"2016-08-28 22:34:32","0","",
"2016-08-28 22:44:23","0","",
"2016-08-28 22:54:13","0","",
"2016-08-28 23:04:04","0","",
"2016-08-28 23:13:54","0","",
"2016-08-28 23:23:44","0","",
"2016-08-28 23:29:57","1","",
"2016-08-28 23:30:51","1","",
"2016-08-28 23:32:38","0","",
"2016-08-28 23:42:28","0","",
"2016-08-28 23:46:40","1","",
"2016-08-28 23:48:27","0","",
"2016-08-28 23:58:17","0","",
"2016-08-29 00:08:07","0","",
"2016-08-29 00:17:57","0","",
"2016-08-29 00:27:47","0","",
"2016-08-29 00:37:37","0","",
"2016-08-29 00:47:27","0","",
"2016-08-29 00:57:16","0","",
"2016-08-29 01:07:06","0","",
"2016-08-29 01:07:19","1","",
"2016-08-29 01:08:51","1","",
"2016-08-29 01:10:39","0","",
"2016-08-29 01:16:58","1","",
"2016-08-29 01:18:45","0","",
"2016-08-29 01:21:00","1","",
"2016-08-29 01:22:48","0","",
"2016-08-29 01:28:02","1","",
"2016-08-29 01:29:50","0","",
"2016-08-29 01:39:40","0","",
"2016-08-29 01:48:47","1","",
"2016-08-29 01:50:35","0","",
"2016-08-29 02:00:24","0","",
"2016-08-29 02:10:14","0","",
"2016-08-29 02:20:04","0","",
"2016-08-29 02:29:54","0","",
"2016-08-29 02:39:44","0","",
"2016-08-29 02:49:34","0","",
"2016-08-29 02:59:24","0","",
"2016-08-29 03:09:13","0","",
"2016-08-29 03:19:03","0","",
"2016-08-29 03:28:53","0","",
"2016-08-29 03:38:42","0","",
"2016-08-29 03:48:33","0","",
"2016-08-29 03:58:23","0","",
"2016-08-29 04:08:12","0","",
"2016-08-29 04:18:02","0","",
"2016-08-29 04:27:52","0","",
"2016-08-29 04:37:42","0","",
"2016-08-29 04:47:32","0","",
"2016-08-29 04:57:22","0","",
"2016-08-29 05:07:11","0","",
"2016-08-29 05:17:01","0","",
"2016-08-29 05:26:51","0","",
"2016-08-29 05:36:41","0","",
"2016-08-29 05:46:31","0","",
"2016-08-29 05:47:50","1","",
"2016-08-29 05:49:37","0","",
"2016-08-29 05:50:47","1","",
"2016-08-29 05:52:34","0","",
"2016-08-29 06:02:24","0","",
"2016-08-29 06:12:15","0","",
"2016-08-29 06:22:05","0","",
"2016-08-29 06:31:56","0","",
"2016-08-29 06:36:44","1","",
"2016-08-29 06:38:31","0","",
