"DateAndTime","OS_Corr357 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-08-28 00:34:09","1","",
"2016-08-28 03:32:19","0","",
"2016-08-28 04:51:53","0","",
"2016-08-28 06:11:27","0","",
"2016-08-28 07:13:23","1","",
"2016-08-28 07:14:54","1","",
"2016-08-28 09:20:53","1","",
"2016-08-28 09:34:19","0","",
"2016-08-28 09:43:45","1","",
"2016-08-28 10:12:48","1","",
"2016-08-28 10:16:16","1","",
"2016-08-28 10:24:59","1","",
"2016-08-28 10:27:03","0","",
"2016-08-28 10:38:25","0","",
"2016-08-28 10:50:51","1","",
"2016-08-28 10:53:20","1","",
"2016-08-28 10:55:24","0","",
"2016-08-28 11:03:28","0","",
"2016-08-28 11:07:59","1","",
"2016-08-28 11:21:25","0","",
"2016-08-28 11:43:26","1","",
"2016-08-28 11:45:30","0","",
"2016-08-28 12:08:14","1","",
"2016-08-28 12:30:23","1","",
"2016-08-28 12:51:00","1","",
"2016-08-28 12:56:23","1","",
"2016-08-28 13:21:11","0","",
"2016-08-28 13:38:06","1","",
"2016-08-28 13:40:10","0","",
"2016-08-28 13:49:24","1","",
"2016-08-28 13:51:28","0","",
"2016-08-28 13:54:37","1","",
"2016-08-28 13:56:41","0","",
"2016-08-28 14:05:52","1","",
"2016-08-28 14:07:13","1","",
"2016-08-28 14:17:28","1","",
"2016-08-28 14:23:04","1","",
"2016-08-28 14:25:08","0","",
"2016-08-28 14:28:47","1","",
"2016-08-28 14:30:51","0","",
"2016-08-28 14:33:17","1","",
"2016-08-28 14:35:21","0","",
"2016-08-28 14:35:26","1","",
"2016-08-28 14:37:30","0","",
"2016-08-28 14:38:31","1","",
"2016-08-28 15:03:54","1","",
"2016-08-28 15:05:58","0","",
"2016-08-28 15:19:50","0","",
"2016-08-28 15:31:39","1","",
"2016-08-28 15:33:43","0","",
"2016-08-28 15:45:05","0","",
"2016-08-28 15:49:04","1","",
"2016-08-28 15:56:13","1","",
"2016-08-28 16:26:56","1","",
"2016-08-28 16:30:33","1","",
"2016-08-28 16:36:24","1","",
"2016-08-28 16:37:37","1","",
"2016-08-28 16:46:08","1","",
"2016-08-28 16:51:26","1","",
"2016-08-28 16:55:07","1","",
"2016-08-28 16:58:48","0","",
"2016-08-28 17:02:56","1","",
"2016-08-28 17:05:00","1","",
"2016-08-28 17:08:33","1","",
"2016-08-28 17:10:14","1","",
"2016-08-28 17:15:03","1","",
"2016-08-28 17:16:10","1","",
"2016-08-28 17:17:19","1","",
"2016-08-28 17:19:23","0","",
"2016-08-28 17:30:45","0","",
"2016-08-28 17:31:06","1","",
"2016-08-28 17:33:10","0","",
"2016-08-28 17:33:39","1","",
"2016-08-28 17:35:21","1","",
"2016-08-28 17:37:25","0","",
"2016-08-28 17:39:57","1","",
"2016-08-28 17:41:56","1","",
"2016-08-28 17:45:07","0","",
"2016-08-28 17:46:47","1","",
"2016-08-28 17:48:51","0","",
"2016-08-28 17:49:12","1","",
"2016-08-28 17:51:16","0","",
"2016-08-28 17:58:48","0","",
"2016-08-28 18:10:10","0","",
"2016-08-28 18:21:32","0","",
"2016-08-28 18:32:54","0","",
"2016-08-28 18:44:17","0","",
"2016-08-28 18:47:18","1","",
"2016-08-28 18:49:22","0","",
"2016-08-28 18:50:43","1","",
"2016-08-28 18:52:47","0","",
"2016-08-28 18:55:29","1","",
"2016-08-28 18:56:41","1","",
"2016-08-28 18:58:28","1","",
"2016-08-28 19:00:32","0","",
"2016-08-28 19:01:33","1","",
"2016-08-28 19:03:15","1","",
"2016-08-28 19:05:20","0","",
"2016-08-28 19:05:40","1","",
"2016-08-28 19:08:58","0","",
"2016-08-28 19:12:36","1","",
"2016-08-28 19:16:37","0","",
"2016-08-28 19:19:41","0","",
"2016-08-28 19:31:04","0","",
"2016-08-28 19:32:10","1","",
"2016-08-28 19:33:40","1","",
"2016-08-28 19:35:44","0","",
"2016-08-28 19:37:23","1","",
"2016-08-28 19:40:38","0","",
"2016-08-28 19:41:36","1","",
"2016-08-28 19:43:40","0","",
"2016-08-28 19:43:53","1","",
"2016-08-28 19:49:32","1","",
"2016-08-28 19:51:36","0","",
"2016-08-28 19:54:20","1","",
"2016-08-28 19:57:06","1","",
"2016-08-28 19:59:10","0","",
