"DateAndTime","OS_Corr272 (Bloomberg-2 East-Corridor 200E) Occupancy","",
"2016-08-28 00:07:22","0","",
"2016-08-28 00:16:47","0","",
"2016-08-28 00:26:12","0","",
"2016-08-28 00:35:37","0","",
"2016-08-28 00:45:02","0","",
"2016-08-28 00:54:27","0","",
"2016-08-28 00:54:59","1","",
"2016-08-28 00:56:41","0","",
"2016-08-28 01:06:06","0","",
"2016-08-28 01:15:31","0","",
"2016-08-28 01:24:56","0","",
"2016-08-28 01:34:22","0","",
"2016-08-28 01:43:47","0","",
"2016-08-28 01:53:13","0","",
"2016-08-28 02:02:38","0","",
"2016-08-28 02:12:03","0","",
"2016-08-28 02:21:29","0","",
"2016-08-28 02:30:54","0","",
"2016-08-28 02:40:19","0","",
"2016-08-28 02:49:45","0","",
"2016-08-28 02:59:09","0","",
"2016-08-28 03:08:34","0","",
"2016-08-28 03:17:59","0","",
"2016-08-28 03:27:24","0","",
"2016-08-28 03:36:50","0","",
"2016-08-28 03:46:16","0","",
"2016-08-28 03:55:41","0","",
"2016-08-28 04:05:05","0","",
"2016-08-28 04:14:30","0","",
"2016-08-28 04:23:55","0","",
"2016-08-28 04:33:20","0","",
"2016-08-28 04:42:45","0","",
"2016-08-28 04:52:10","0","",
"2016-08-28 05:01:35","0","",
"2016-08-28 05:11:01","0","",
"2016-08-28 05:20:27","0","",
"2016-08-28 05:29:52","0","",
"2016-08-28 05:39:17","0","",
"2016-08-28 05:48:42","0","",
"2016-08-28 05:58:07","0","",
"2016-08-28 06:07:32","0","",
"2016-08-28 06:16:58","0","",
"2016-08-28 06:26:23","0","",
"2016-08-28 06:35:49","0","",
"2016-08-28 06:45:14","0","",
"2016-08-28 06:54:39","0","",
"2016-08-28 07:04:04","0","",
"2016-08-28 07:13:29","0","",
"2016-08-28 07:22:54","0","",
"2016-08-28 07:32:19","0","",
"2016-08-28 07:41:44","0","",
"2016-08-28 07:51:09","0","",
"2016-08-28 07:55:29","1","",
"2016-08-28 07:57:12","0","",
"2016-08-28 08:06:37","0","",
"2016-08-28 08:16:02","0","",
"2016-08-28 08:25:27","0","",
"2016-08-28 08:34:52","0","",
"2016-08-28 08:44:17","0","",
"2016-08-28 08:53:42","0","",
"2016-08-28 09:03:07","0","",
"2016-08-28 09:12:33","0","",
"2016-08-28 09:21:58","0","",
"2016-08-28 09:31:22","0","",
"2016-08-28 09:40:47","0","",
"2016-08-28 09:50:12","0","",
"2016-08-28 09:59:37","0","",
"2016-08-28 10:09:01","0","",
"2016-08-28 10:18:26","0","",
"2016-08-28 10:20:17","1","",
"2016-08-28 10:22:00","0","",
"2016-08-28 10:27:31","1","",
"2016-08-28 10:29:14","0","",
"2016-08-28 10:38:39","0","",
"2016-08-28 10:44:05","1","",
"2016-08-28 10:45:48","0","",
"2016-08-28 10:50:30","1","",
"2016-08-28 10:52:13","0","",
"2016-08-28 10:53:03","1","",
"2016-08-28 10:54:46","0","",
"2016-08-28 11:00:58","1","",
"2016-08-28 11:02:41","0","",
"2016-08-28 11:12:06","0","",
"2016-08-28 11:17:17","1","",
"2016-08-28 11:19:00","0","",
"2016-08-28 11:19:24","1","",
"2016-08-28 11:21:07","0","",
"2016-08-28 11:21:09","1","",
"2016-08-28 11:22:51","0","",
"2016-08-28 11:32:17","0","",
"2016-08-28 11:33:17","1","",
"2016-08-28 11:35:00","0","",
"2016-08-28 11:41:53","1","",
"2016-08-28 11:43:35","0","",
"2016-08-28 11:46:11","1","",
"2016-08-28 11:47:54","0","",
"2016-08-28 11:57:20","0","",
"2016-08-28 12:06:44","0","",
"2016-08-28 12:09:49","1","",
"2016-08-28 12:11:32","0","",
"2016-08-28 12:14:11","1","",
"2016-08-28 12:15:15","1","",
"2016-08-28 12:16:58","0","",
"2016-08-28 12:18:37","1","",
"2016-08-28 12:19:52","1","",
"2016-08-28 12:21:35","0","",
"2016-08-28 12:29:34","1","",
"2016-08-28 12:31:17","0","",
"2016-08-28 12:37:54","1","",
"2016-08-28 12:38:55","1","",
"2016-08-28 12:40:38","0","",
"2016-08-28 12:47:49","1","",
"2016-08-28 12:49:32","0","",
"2016-08-28 12:50:12","1","",
"2016-08-28 12:51:55","0","",
"2016-08-28 13:01:20","0","",
"2016-08-28 13:10:46","0","",
"2016-08-28 13:20:11","0","",
"2016-08-28 13:29:37","0","",
"2016-08-28 13:39:02","0","",
"2016-08-28 13:48:28","0","",
"2016-08-28 13:57:53","0","",
"2016-08-28 14:07:18","0","",
"2016-08-28 14:16:43","0","",
"2016-08-28 14:26:09","0","",
"2016-08-28 14:35:34","0","",
"2016-08-28 14:45:00","0","",
"2016-08-28 14:47:39","1","",
"2016-08-28 14:49:22","0","",
"2016-08-28 14:58:48","0","",
"2016-08-28 15:08:12","0","",
"2016-08-28 15:17:38","0","",
"2016-08-28 15:27:04","0","",
"2016-08-28 15:36:29","0","",
"2016-08-28 15:45:55","0","",
"2016-08-28 15:55:21","0","",
"2016-08-28 16:01:45","1","",
"2016-08-28 16:02:36","1","",
"2016-08-28 16:04:19","0","",
"2016-08-28 16:13:45","0","",
"2016-08-28 16:23:10","0","",
"2016-08-28 16:29:08","0","",
"2016-08-28 16:29:37","1","",
"2016-08-28 16:30:40","1","",
"2016-08-28 16:32:23","0","",
"2016-08-28 16:37:52","1","",
"2016-08-28 16:39:35","0","",
"2016-08-28 16:42:50","1","",
"2016-08-28 16:44:33","0","",
"2016-08-28 16:52:30","1","",
"2016-08-28 16:54:13","0","",
"2016-08-28 16:57:08","1","",
"2016-08-28 16:58:51","0","",
"2016-08-28 16:59:12","1","",
"2016-08-28 17:00:54","0","",
"2016-08-28 17:10:19","0","",
"2016-08-28 17:19:44","0","",
"2016-08-28 17:29:10","0","",
"2016-08-28 17:38:35","0","",
"2016-08-28 17:40:33","1","",
