"DateAndTime","OS_Hall121 (Bloomberg-1 West-Hall 121) Occupancy","",
"2016-08-28 00:02:23","0","",
"2016-08-28 00:12:54","0","",
"2016-08-28 00:23:25","0","",
"2016-08-28 00:33:55","0","",
"2016-08-28 00:44:26","0","",
"2016-08-28 00:54:57","0","",
"2016-08-28 01:05:27","0","",
"2016-08-28 01:15:58","0","",
"2016-08-28 01:26:29","0","",
"2016-08-28 01:36:59","0","",
"2016-08-28 01:47:30","0","",
"2016-08-28 01:58:00","0","",
"2016-08-28 02:08:30","0","",
"2016-08-28 02:19:01","0","",
"2016-08-28 02:29:32","0","",
"2016-08-28 02:40:02","0","",
"2016-08-28 02:50:33","0","",
"2016-08-28 03:01:04","0","",
"2016-08-28 03:11:34","0","",
"2016-08-28 03:22:05","0","",
"2016-08-28 03:32:36","0","",
"2016-08-28 03:43:07","0","",
"2016-08-28 03:53:37","0","",
"2016-08-28 04:04:07","0","",
"2016-08-28 04:14:38","0","",
"2016-08-28 04:25:08","0","",
"2016-08-28 04:35:39","0","",
"2016-08-28 04:46:09","0","",
"2016-08-28 04:56:40","0","",
"2016-08-28 05:07:10","0","",
"2016-08-28 05:17:40","0","",
"2016-08-28 05:28:11","0","",
"2016-08-28 05:38:41","0","",
"2016-08-28 05:49:12","0","",
"2016-08-28 05:59:42","0","",
"2016-08-28 06:10:13","0","",
"2016-08-28 06:20:43","0","",
"2016-08-28 06:31:13","0","",
"2016-08-28 06:41:43","0","",
"2016-08-28 06:52:13","0","",
"2016-08-28 07:02:44","0","",
"2016-08-28 07:13:14","0","",
"2016-08-28 07:23:44","0","",
"2016-08-28 07:34:15","0","",
"2016-08-28 07:44:45","0","",
"2016-08-28 07:55:16","0","",
"2016-08-28 08:05:46","0","",
"2016-08-28 08:16:16","0","",
"2016-08-28 08:26:47","0","",
"2016-08-28 08:37:18","0","",
"2016-08-28 08:47:48","0","",
"2016-08-28 08:58:19","0","",
"2016-08-28 09:08:49","0","",
"2016-08-28 09:19:20","0","",
"2016-08-28 09:29:51","0","",
"2016-08-28 09:40:22","0","",
"2016-08-28 09:50:52","0","",
"2016-08-28 10:01:23","0","",
"2016-08-28 10:11:54","0","",
"2016-08-28 10:13:02","1","",
"2016-08-28 10:13:59","1","",
"2016-08-28 10:15:44","1","",
"2016-08-28 10:17:03","1","",
"2016-08-28 10:18:00","1","",
"2016-08-28 10:19:00","1","",
"2016-08-28 10:20:55","0","",
"2016-08-28 10:25:04","1","",
"2016-08-28 10:26:01","1","",
"2016-08-28 10:27:18","1","",
"2016-08-28 10:30:38","1","",
"2016-08-28 10:32:13","1","",
"2016-08-28 10:33:26","1","",
"2016-08-28 10:35:21","0","",
"2016-08-28 10:38:27","1","",
"2016-08-28 10:40:21","0","",
"2016-08-28 10:46:34","1","",
"2016-08-28 10:47:31","1","",
"2016-08-28 10:48:48","1","",
"2016-08-28 10:50:43","0","",
"2016-08-28 10:52:42","1","",
"2016-08-28 10:53:41","1","",
"2016-08-28 10:55:35","0","",
"2016-08-28 10:57:03","1","",
"2016-08-28 10:58:30","1","",
"2016-08-28 11:00:03","1","",
"2016-08-28 11:01:57","0","",
"2016-08-28 11:05:53","1","",
"2016-08-28 11:07:48","0","",
"2016-08-28 11:08:13","1","",
"2016-08-28 11:09:14","1","",
"2016-08-28 11:11:09","0","",
"2016-08-28 11:14:58","1","",
"2016-08-28 11:16:53","0","",
"2016-08-28 11:20:54","1","",
"2016-08-28 11:22:03","1","",
"2016-08-28 11:23:23","1","",
"2016-08-28 11:25:18","0","",
"2016-08-28 11:26:09","1","",
"2016-08-28 11:28:04","0","",
"2016-08-28 11:38:35","0","",
"2016-08-28 11:49:06","0","",
"2016-08-28 11:53:54","1","",
"2016-08-28 11:54:54","1","",
"2016-08-28 11:56:49","0","",
"2016-08-28 12:07:20","0","",
"2016-08-28 12:17:51","0","",
"2016-08-28 12:28:21","0","",
"2016-08-28 12:30:11","1","",
"2016-08-28 12:32:06","0","",
"2016-08-28 12:33:33","1","",
"2016-08-28 12:34:55","1","",
"2016-08-28 12:36:50","0","",
"2016-08-28 12:37:52","1","",
"2016-08-28 12:39:47","0","",
"2016-08-28 12:42:51","1","",
"2016-08-28 12:43:51","1","",
"2016-08-28 12:44:59","1","",
"2016-08-28 12:46:53","0","",
"2016-08-28 12:49:41","1","",
"2016-08-28 12:51:36","0","",
"2016-08-28 13:02:07","0","",
"2016-08-28 13:12:38","0","",
"2016-08-28 13:23:08","0","",
"2016-08-28 13:33:39","0","",
"2016-08-28 13:44:09","0","",
"2016-08-28 13:44:24","1","",
"2016-08-28 13:45:40","1","",
"2016-08-28 13:47:35","0","",
"2016-08-28 13:48:55","1","",
"2016-08-28 13:50:22","1","",
"2016-08-28 13:52:17","0","",
"2016-08-28 13:54:24","1","",
"2016-08-28 13:56:19","0","",
"2016-08-28 13:59:14","1","",
"2016-08-28 14:00:21","1","",
"2016-08-28 14:01:19","1","",
"2016-08-28 14:02:22","1","",
"2016-08-28 14:04:16","0","",
"2016-08-28 14:14:48","0","",
"2016-08-28 14:22:29","1","",
"2016-08-28 14:24:24","0","",
"2016-08-28 14:30:41","1","",
"2016-08-28 14:32:36","0","",
"2016-08-28 14:43:07","0","",
"2016-08-28 14:49:48","1","",
"2016-08-28 14:51:15","1","",
"2016-08-28 14:52:13","1","",
"2016-08-28 14:53:11","1","",
"2016-08-28 14:55:06","0","",
"2016-08-28 15:05:36","0","",
"2016-08-28 15:16:06","0","",
"2016-08-28 15:26:37","0","",
"2016-08-28 15:37:07","0","",
"2016-08-28 15:40:16","1","",
"2016-08-28 15:41:14","1","",
"2016-08-28 15:43:08","0","",
"2016-08-28 15:46:40","1","",
"2016-08-28 15:47:39","1","",
"2016-08-28 15:48:38","1","",
"2016-08-28 15:49:36","1","",
"2016-08-28 15:51:31","0","",
"2016-08-28 15:54:01","1","",
"2016-08-28 15:55:04","1","",
"2016-08-28 15:56:59","0","",
"2016-08-28 15:58:36","1","",
"2016-08-28 16:00:29","1","",
"2016-08-28 16:02:13","1","",
"2016-08-28 16:03:45","1","",
"2016-08-28 16:05:40","0","",
"2016-08-28 16:10:47","1","",
"2016-08-28 16:12:21","1","",
"2016-08-28 16:14:16","0","",
"2016-08-28 16:24:47","0","",
