"DateAndTime","OS_bloom-hall131 (Bloomberg-1 West-Hall 131) Occupancy","",
"2016-08-28 00:08:42","0","",
"2016-08-28 00:19:11","0","",
"2016-08-28 00:29:38","0","",
"2016-08-28 00:40:06","0","",
"2016-08-28 00:50:35","0","",
"2016-08-28 01:01:01","0","",
"2016-08-28 01:11:29","0","",
"2016-08-28 01:21:58","0","",
"2016-08-28 01:32:26","0","",
"2016-08-28 01:42:55","0","",
"2016-08-28 01:53:23","0","",
"2016-08-28 02:03:51","0","",
"2016-08-28 02:14:20","0","",
"2016-08-28 02:24:48","0","",
"2016-08-28 02:35:16","0","",
"2016-08-28 02:45:45","0","",
"2016-08-28 02:56:14","0","",
"2016-08-28 03:06:41","0","",
"2016-08-28 03:17:10","0","",
"2016-08-28 03:27:38","0","",
"2016-08-28 03:38:06","0","",
"2016-08-28 03:48:34","0","",
"2016-08-28 03:59:01","0","",
"2016-08-28 04:09:28","0","",
"2016-08-28 04:19:55","0","",
"2016-08-28 04:30:22","0","",
"2016-08-28 04:40:50","0","",
"2016-08-28 04:51:19","0","",
"2016-08-28 05:01:46","0","",
"2016-08-28 05:12:14","0","",
"2016-08-28 05:22:42","0","",
"2016-08-28 05:33:10","0","",
"2016-08-28 05:43:38","0","",
"2016-08-28 05:54:06","0","",
"2016-08-28 06:04:34","0","",
"2016-08-28 06:15:01","0","",
"2016-08-28 06:25:29","0","",
"2016-08-28 06:35:58","0","",
"2016-08-28 06:46:28","0","",
"2016-08-28 06:56:56","0","",
"2016-08-28 07:07:25","0","",
"2016-08-28 07:17:52","0","",
"2016-08-28 07:28:20","0","",
"2016-08-28 07:38:48","0","",
"2016-08-28 07:49:16","0","",
"2016-08-28 07:59:44","0","",
"2016-08-28 08:10:12","0","",
"2016-08-28 08:20:40","0","",
"2016-08-28 08:31:08","0","",
"2016-08-28 08:41:36","0","",
"2016-08-28 08:51:20","1","",
"2016-08-28 08:53:15","0","",
"2016-08-28 09:03:43","0","",
"2016-08-28 09:14:11","0","",
"2016-08-28 09:24:39","0","",
"2016-08-28 09:35:08","0","",
"2016-08-28 09:45:37","0","",
"2016-08-28 09:56:06","0","",
"2016-08-28 10:06:36","0","",
"2016-08-28 10:15:04","1","",
"2016-08-28 10:16:58","0","",
"2016-08-28 10:17:37","1","",
"2016-08-28 10:19:22","1","",
"2016-08-28 10:21:16","0","",
"2016-08-28 10:24:54","1","",
"2016-08-28 10:26:48","0","",
"2016-08-28 10:37:17","0","",
"2016-08-28 10:47:45","0","",
"2016-08-28 10:49:25","1","",
"2016-08-28 10:51:19","0","",
"2016-08-28 11:01:47","0","",
"2016-08-28 11:08:03","1","",
"2016-08-28 11:09:28","1","",
"2016-08-28 11:11:22","0","",
"2016-08-28 11:15:24","1","",
"2016-08-28 11:17:18","0","",
"2016-08-28 11:27:46","0","",
"2016-08-28 11:33:43","1","",
"2016-08-28 11:35:37","0","",
"2016-08-28 11:46:05","0","",
"2016-08-28 11:52:52","1","",
"2016-08-28 11:54:46","0","",
"2016-08-28 11:55:38","1","",
"2016-08-28 11:57:33","0","",
"2016-08-28 12:08:02","0","",
"2016-08-28 12:18:30","0","",
"2016-08-28 12:28:59","0","",
"2016-08-28 12:39:28","0","",
"2016-08-28 12:39:51","1","",
"2016-08-28 12:41:45","0","",
