"DateAndTime","OS_Rm253 (Bloomberg-2 East-Study 253) Occupancy","",
"2016-10-05 00:00:22","1","",
"2016-10-05 00:02:00","1","",
"2016-10-05 00:03:08","1","",
"2016-10-05 00:04:16","1","",
"2016-10-05 00:05:24","1","",
"2016-10-05 00:06:32","1","",
"2016-10-05 00:07:55","1","",
"2016-10-05 00:09:07","1","",
"2016-10-05 00:10:28","1","",
"2016-10-05 00:12:06","1","",
"2016-10-05 00:13:24","1","",
"2016-10-05 00:14:55","1","",
"2016-10-05 00:16:28","1","",
"2016-10-05 00:17:35","1","",
"2016-10-05 00:18:43","1","",
"2016-10-05 00:19:54","1","",
"2016-10-05 00:21:03","1","",
"2016-10-05 00:22:11","1","",
"2016-10-05 00:23:19","1","",
"2016-10-05 00:24:27","1","",
"2016-10-05 00:25:38","1","",
"2016-10-05 00:26:50","1","",
"2016-10-05 00:27:59","1","",
"2016-10-05 00:29:08","1","",
"2016-10-05 00:30:16","1","",
"2016-10-05 00:31:31","1","",
"2016-10-05 00:32:41","1","",
"2016-10-05 00:33:49","1","",
"2016-10-05 00:34:58","1","",
"2016-10-05 00:36:05","1","",
"2016-10-05 00:37:13","1","",
"2016-10-05 00:38:21","1","",
"2016-10-05 00:39:29","1","",
"2016-10-05 00:40:37","1","",
"2016-10-05 00:41:45","1","",
"2016-10-05 00:42:53","1","",
"2016-10-05 00:44:01","1","",
"2016-10-05 00:45:09","1","",
"2016-10-05 00:46:16","1","",
"2016-10-05 00:47:24","1","",
"2016-10-05 00:48:32","1","",
"2016-10-05 00:49:40","1","",
"2016-10-05 00:50:48","1","",
"2016-10-05 00:52:04","1","",
"2016-10-05 00:53:11","1","",
"2016-10-05 00:54:19","1","",
"2016-10-05 00:55:27","1","",
"2016-10-05 00:56:35","1","",
"2016-10-05 00:57:50","1","",
"2016-10-05 00:59:03","1","",
"2016-10-05 01:00:16","1","",
"2016-10-05 01:01:24","1","",
"2016-10-05 01:02:38","1","",
"2016-10-05 01:03:49","1","",
"2016-10-05 01:05:00","1","",
"2016-10-05 01:06:11","1","",
"2016-10-05 01:07:30","1","",
"2016-10-05 01:08:37","1","",
"2016-10-05 01:09:45","1","",
"2016-10-05 01:11:09","1","",
"2016-10-05 01:12:30","1","",
"2016-10-05 01:13:38","1","",
"2016-10-05 01:14:50","1","",
"2016-10-05 01:16:12","1","",
"2016-10-05 01:17:19","1","",
"2016-10-05 01:18:32","1","",
"2016-10-05 01:19:43","1","",
"2016-10-05 01:20:53","1","",
"2016-10-05 01:22:03","1","",
"2016-10-05 01:23:18","1","",
"2016-10-05 01:24:36","1","",
"2016-10-05 01:25:44","1","",
"2016-10-05 01:26:57","1","",
"2016-10-05 01:28:11","1","",
"2016-10-05 01:29:19","1","",
"2016-10-05 01:30:38","1","",
"2016-10-05 01:31:45","1","",
"2016-10-05 01:32:54","1","",
"2016-10-05 01:34:02","1","",
"2016-10-05 01:35:10","1","",
"2016-10-05 01:36:35","1","",
"2016-10-05 01:37:42","1","",
"2016-10-05 01:38:50","1","",
"2016-10-05 01:40:04","1","",
"2016-10-05 01:41:13","1","",
"2016-10-05 01:42:21","1","",
"2016-10-05 01:43:28","1","",
"2016-10-05 01:44:36","1","",
"2016-10-05 01:45:46","1","",
"2016-10-05 01:46:59","1","",
"2016-10-05 01:48:10","1","",
"2016-10-05 01:49:17","1","",
"2016-10-05 01:50:43","1","",
"2016-10-05 01:51:51","1","",
"2016-10-05 01:53:02","1","",
"2016-10-05 01:55:07","1","",
"2016-10-05 01:56:21","1","",
"2016-10-05 01:57:43","1","",
"2016-10-05 01:59:03","1","",
"2016-10-05 02:00:13","1","",
"2016-10-05 02:01:20","1","",
"2016-10-05 02:03:36","0","",
"2016-10-05 02:04:17","1","",
"2016-10-05 02:06:00","1","",
"2016-10-05 02:07:11","1","",
"2016-10-05 02:09:18","1","",
"2016-10-05 02:10:34","1","",
"2016-10-05 02:12:14","1","",
"2016-10-05 02:13:28","1","",
"2016-10-05 02:14:35","1","",
"2016-10-05 02:15:50","1","",
"2016-10-05 02:17:14","1","",
"2016-10-05 02:18:26","1","",
"2016-10-05 02:19:42","1","",
"2016-10-05 02:21:57","0","",
"2016-10-05 02:23:23","1","",
"2016-10-05 02:24:33","1","",
"2016-10-05 02:26:25","1","",
"2016-10-05 02:27:53","1","",
"2016-10-05 02:29:01","1","",
"2016-10-05 02:30:09","1","",
"2016-10-05 02:31:21","1","",
"2016-10-05 02:33:35","1","",
"2016-10-05 02:35:08","1","",
"2016-10-05 02:36:23","1","",
"2016-10-05 02:37:32","1","",
"2016-10-05 02:39:07","1","",
"2016-10-05 02:40:21","1","",
"2016-10-05 02:41:31","1","",
"2016-10-05 02:42:53","1","",
"2016-10-05 02:44:02","1","",
"2016-10-05 02:45:15","1","",
"2016-10-05 02:46:37","1","",
"2016-10-05 02:47:50","1","",
"2016-10-05 02:49:54","1","",
"2016-10-05 02:51:03","1","",
"2016-10-05 02:52:11","1","",
"2016-10-05 02:53:19","1","",
"2016-10-05 02:54:37","1","",
"2016-10-05 02:55:45","1","",
"2016-10-05 02:56:55","1","",
"2016-10-05 02:58:08","1","",
"2016-10-05 02:59:17","1","",
"2016-10-05 03:00:24","1","",
"2016-10-05 03:02:10","1","",
"2016-10-05 03:03:19","1","",
"2016-10-05 03:04:54","1","",
"2016-10-05 03:06:01","1","",
"2016-10-05 03:07:09","1","",
"2016-10-05 03:08:29","1","",
"2016-10-05 03:09:48","1","",
"2016-10-05 03:10:57","1","",
"2016-10-05 03:12:09","1","",
"2016-10-05 03:13:17","1","",
"2016-10-05 03:14:24","1","",
