"DateAndTime","OS_Rm353 (Bloomberg-3-Study 353) Occupancy","",
"2016-10-05 00:01:32","1","",
"2016-10-05 00:03:11","0","",
"2016-10-05 00:05:14","1","",
"2016-10-05 00:06:52","0","",
"2016-10-05 00:09:00","0","",
"2016-10-05 00:10:38","1","",
"2016-10-05 00:11:51","1","",
"2016-10-05 00:13:07","1","",
"2016-10-05 00:14:45","0","",
"2016-10-05 00:15:27","1","",
"2016-10-05 00:17:06","0","",
"2016-10-05 00:18:10","1","",
"2016-10-05 00:19:01","1","",
"2016-10-05 00:20:40","0","",
"2016-10-05 00:22:52","1","",
"2016-10-05 00:23:44","1","",
"2016-10-05 00:24:46","1","",
"2016-10-05 00:25:36","1","",
"2016-10-05 00:27:15","0","",
"2016-10-05 00:27:34","1","",
"2016-10-05 00:28:41","1","",
"2016-10-05 00:29:32","1","",
"2016-10-05 00:30:21","1","",
"2016-10-05 00:32:00","0","",
"2016-10-05 00:36:35","1","",
"2016-10-05 00:38:14","0","",
"2016-10-05 00:39:06","1","",
"2016-10-05 00:40:45","0","",
"2016-10-05 00:40:55","1","",
"2016-10-05 00:42:34","0","",
"2016-10-05 00:43:10","1","",
"2016-10-05 00:44:03","1","",
"2016-10-05 00:44:52","1","",
"2016-10-05 00:46:24","1","",
"2016-10-05 00:47:14","1","",
"2016-10-05 00:48:52","0","",
"2016-10-05 00:49:24","1","",
"2016-10-05 00:51:03","0","",
"2016-10-05 01:00:05","0","",
"2016-10-05 01:08:11","1","",
"2016-10-05 01:09:11","1","",
"2016-10-05 01:10:10","1","",
"2016-10-05 01:11:01","1","",
"2016-10-05 01:12:39","0","",
"2016-10-05 01:13:47","1","",
"2016-10-05 01:14:44","1","",
"2016-10-05 01:15:37","1","",
"2016-10-05 01:16:29","1","",
"2016-10-05 01:17:54","1","",
"2016-10-05 01:19:33","0","",
"2016-10-05 01:20:13","1","",
"2016-10-05 01:21:52","0","",
"2016-10-05 01:24:58","1","",
"2016-10-05 01:26:37","0","",
"2016-10-05 01:33:42","1","",
"2016-10-05 01:35:21","0","",
"2016-10-05 01:36:03","1","",
"2016-10-05 01:37:37","1","",
"2016-10-05 01:39:15","0","",
"2016-10-05 01:41:42","1","",
"2016-10-05 01:43:20","0","",
"2016-10-05 01:43:26","1","",
"2016-10-05 01:44:51","1","",
"2016-10-05 01:46:30","0","",
"2016-10-05 01:49:08","1","",
"2016-10-05 01:50:47","0","",
"2016-10-05 01:59:49","0","",
"2016-10-05 02:01:35","1","",
"2016-10-05 02:02:49","1","",
"2016-10-05 02:03:43","1","",
"2016-10-05 02:05:21","0","",
"2016-10-05 02:06:10","1","",
"2016-10-05 02:07:38","1","",
