"DateAndTime","OS_bloom-hall131 (Bloomberg-1 West-Hall 131) Occupancy","",
"2016-10-05 00:06:35","0","",
"2016-10-05 00:10:34","1","",
"2016-10-05 00:11:48","1","",
"2016-10-05 00:13:42","0","",
"2016-10-05 00:24:10","0","",
"2016-10-05 00:34:37","0","",
"2016-10-05 00:45:04","0","",
"2016-10-05 00:55:32","0","",
"2016-10-05 01:04:46","1","",
"2016-10-05 01:06:41","0","",
"2016-10-05 01:17:08","0","",
"2016-10-05 01:27:36","0","",
"2016-10-05 01:38:03","0","",
"2016-10-05 01:48:18","1","",
"2016-10-05 01:50:12","0","",
"2016-10-05 02:00:38","0","",
"2016-10-05 02:11:05","0","",
"2016-10-05 02:21:31","0","",
"2016-10-05 02:31:58","0","",
"2016-10-05 02:34:14","1","",
"2016-10-05 02:36:08","0","",
"2016-10-05 02:46:35","0","",
"2016-10-05 02:57:04","0","",
"2016-10-05 03:07:31","0","",
"2016-10-05 03:18:00","0","",
"2016-10-05 03:28:27","0","",
"2016-10-05 03:38:54","0","",
"2016-10-05 03:49:21","0","",
"2016-10-05 03:59:48","0","",
"2016-10-05 04:10:16","0","",
"2016-10-05 04:15:09","1","",
"2016-10-05 04:17:04","0","",
"2016-10-05 04:27:31","0","",
"2016-10-05 04:37:59","0","",
"2016-10-05 04:48:27","0","",
"2016-10-05 04:58:54","0","",
"2016-10-05 05:09:21","0","",
"2016-10-05 05:19:49","0","",
"2016-10-05 05:30:16","0","",
"2016-10-05 05:40:42","0","",
"2016-10-05 05:51:09","0","",
"2016-10-05 06:01:36","0","",
"2016-10-05 06:12:03","0","",
"2016-10-05 06:22:31","0","",
"2016-10-05 06:32:58","0","",
"2016-10-05 06:43:26","0","",
"2016-10-05 06:53:53","0","",
"2016-10-05 07:04:20","0","",
"2016-10-05 07:14:47","0","",
"2016-10-05 07:25:13","0","",
"2016-10-05 07:35:39","0","",
"2016-10-05 07:35:45","1","",
"2016-10-05 07:36:50","1","",
"2016-10-05 07:38:44","0","",
"2016-10-05 07:46:12","1","",
"2016-10-05 07:48:06","0","",
"2016-10-05 07:58:33","0","",
"2016-10-05 08:09:00","0","",
"2016-10-05 08:19:27","0","",
"2016-10-05 08:29:55","0","",
"2016-10-05 08:40:22","0","",
"2016-10-05 08:46:56","1","",
"2016-10-05 08:48:01","1","",
"2016-10-05 08:49:01","1","",
"2016-10-05 08:50:55","0","",
"2016-10-05 08:53:28","1","",
"2016-10-05 08:54:42","1","",
"2016-10-05 08:56:36","0","",
"2016-10-05 09:07:05","0","",
"2016-10-05 09:08:05","1","",
"2016-10-05 09:09:04","1","",
"2016-10-05 09:10:38","1","",
"2016-10-05 09:12:32","0","",
"2016-10-05 09:12:39","1","",
"2016-10-05 09:14:34","0","",
"2016-10-05 09:15:19","1","",
"2016-10-05 09:17:13","0","",
"2016-10-05 09:27:40","0","",
"2016-10-05 09:38:09","0","",
