"DateAndTime","OS_Corr266 (Bloomberg-2 East-Corridor 200E) Occupancy","",
"2016-09-25 00:00:10","0","",
"2016-09-25 00:09:28","0","",
"2016-09-25 00:18:46","0","",
"2016-09-25 00:28:04","0","",
"2016-09-25 00:32:18","1","",
"2016-09-25 00:33:48","1","",
"2016-09-25 00:35:30","0","",
"2016-09-25 00:42:54","1","",
"2016-09-25 00:44:36","0","",
"2016-09-25 00:53:54","0","",
"2016-09-25 01:03:12","0","",
"2016-09-25 01:04:58","1","",
"2016-09-25 01:06:09","1","",
"2016-09-25 01:07:03","1","",
"2016-09-25 01:08:44","0","",
"2016-09-25 01:11:43","1","",
"2016-09-25 01:13:08","1","",
"2016-09-25 01:14:50","0","",
"2016-09-25 01:15:45","1","",
"2016-09-25 01:16:45","1","",
"2016-09-25 01:17:36","1","",
"2016-09-25 01:19:17","0","",
"2016-09-25 01:21:12","1","",
"2016-09-25 01:22:53","0","",
"2016-09-25 01:25:32","1","",
"2016-09-25 01:27:13","0","",
"2016-09-25 01:31:11","1","",
"2016-09-25 01:32:52","0","",
"2016-09-25 01:41:35","1","",
"2016-09-25 01:43:16","0","",
"2016-09-25 01:43:39","1","",
"2016-09-25 01:45:20","0","",
"2016-09-25 01:45:51","1","",
"2016-09-25 01:47:32","0","",
"2016-09-25 01:53:03","1","",
"2016-09-25 01:54:45","0","",
"2016-09-25 01:55:52","1","",
"2016-09-25 01:57:34","0","",
"2016-09-25 02:02:43","1","",
"2016-09-25 02:04:25","0","",
"2016-09-25 02:07:51","1","",
"2016-09-25 02:09:32","0","",
"2016-09-25 02:18:51","0","",
"2016-09-25 02:21:26","1","",
"2016-09-25 02:23:07","0","",
"2016-09-25 02:27:18","1","",
"2016-09-25 02:28:59","0","",
"2016-09-25 02:38:18","0","",
"2016-09-25 02:39:41","1","",
"2016-09-25 02:40:33","1","",
"2016-09-25 02:42:15","0","",
"2016-09-25 02:42:52","1","",
"2016-09-25 02:44:14","1","",
"2016-09-25 02:45:26","1","",
"2016-09-25 02:47:08","0","",
"2016-09-25 02:49:17","1","",
"2016-09-25 02:50:58","0","",
"2016-09-25 02:51:21","1","",
"2016-09-25 02:53:03","0","",
"2016-09-25 02:53:51","1","",
"2016-09-25 02:55:25","1","",
"2016-09-25 02:57:07","0","",
