"DateAndTime","OS_Corr132 (Bloomberg-1 West-Corridor 130) Occupancy","",
"2016-08-28 00:11:43","0","",
"2016-08-28 01:12:02","0","",
"2016-08-28 02:12:21","0","",
"2016-08-28 03:12:40","0","",
"2016-08-28 04:12:59","0","",
"2016-08-28 05:13:18","0","",
"2016-08-28 06:13:38","0","",
"2016-08-28 07:13:57","0","",
"2016-08-28 08:14:15","0","",
"2016-08-28 08:28:49","1","",
"2016-08-28 08:38:54","0","",
"2016-08-28 08:51:20","1","",
"2016-08-28 08:54:35","1","",
"2016-08-28 09:00:39","1","",
"2016-08-28 09:10:45","0","",
"2016-08-28 09:30:51","0","",
"2016-08-28 10:15:04","1","",
"2016-08-28 10:17:34","1","",
"2016-08-28 10:24:50","1","",
"2016-08-28 10:34:56","0","",
"2016-08-28 10:49:24","1","",
"2016-08-28 10:59:30","0","",
"2016-08-28 11:07:56","1","",
"2016-08-28 11:15:23","1","",
"2016-08-28 11:25:29","0","",
"2016-08-28 11:33:36","1","",
"2016-08-28 11:43:42","0","",
"2016-08-28 11:52:51","1","",
"2016-08-28 11:55:38","1","",
"2016-08-28 12:05:44","0","",
"2016-08-28 12:25:51","0","",
"2016-08-28 12:39:46","1","",
"2016-08-28 12:45:29","1","",
"2016-08-28 12:48:59","1","",
"2016-08-28 12:51:19","1","",
"2016-08-28 13:01:25","0","",
"2016-08-28 13:21:32","0","",
"2016-08-28 13:42:59","1","",
"2016-08-28 13:47:52","1","",
"2016-08-28 13:49:53","1","",
"2016-08-28 13:53:04","1","",
"2016-08-28 13:55:47","1","",
"2016-08-28 14:01:43","1","",
"2016-08-28 14:11:48","0","",
"2016-08-28 14:19:57","1","",
"2016-08-28 14:22:11","1","",
"2016-08-28 14:32:16","0","",
"2016-08-28 14:38:50","1","",
"2016-08-28 14:48:55","0","",
"2016-08-28 14:49:26","1","",
"2016-08-28 14:59:32","0","",
"2016-08-28 15:17:31","1","",
"2016-08-28 15:27:36","0","",
"2016-08-28 15:47:28","1","",
"2016-08-28 15:54:06","1","",
"2016-08-28 16:00:06","1","",
"2016-08-28 16:10:11","0","",
"2016-08-28 16:28:39","1","",
"2016-08-28 16:38:45","0","",
"2016-08-28 16:50:41","1","",
"2016-08-28 17:00:46","0","",
"2016-08-28 17:20:53","0","",
"2016-08-28 17:21:14","1","",
"2016-08-28 17:26:21","1","",
"2016-08-28 17:36:27","0","",
"2016-08-28 17:56:34","0","",
"2016-08-28 19:27:57","1","",
"2016-08-28 19:38:03","0","",
"2016-08-28 19:58:10","0","",
"2016-08-28 20:58:29","0","",
"2016-08-28 21:03:47","1","",
"2016-08-28 21:13:53","0","",
"2016-08-28 21:33:13","1","",
"2016-08-28 21:43:19","0","",
"2016-08-28 21:50:38","1","",
"2016-08-28 22:00:43","0","",
"2016-08-28 22:16:07","1","",
"2016-08-28 22:18:31","1","",
