"DateAndTime","OS_Corr257 (Bloomberg-2 East-Corridor 200E) Occupancy","",
"2016-08-28 00:08:25","0","",
"2016-08-28 00:20:45","0","",
"2016-08-28 00:33:04","0","",
"2016-08-28 00:45:23","0","",
"2016-08-28 00:54:42","1","",
"2016-08-28 00:56:56","0","",
"2016-08-28 01:09:16","0","",
"2016-08-28 01:21:35","0","",
"2016-08-28 01:33:55","0","",
"2016-08-28 01:46:15","0","",
"2016-08-28 01:58:35","0","",
"2016-08-28 02:10:53","0","",
"2016-08-28 02:23:14","0","",
"2016-08-28 02:35:33","0","",
"2016-08-28 02:47:53","0","",
"2016-08-28 03:00:12","0","",
"2016-08-28 03:12:31","0","",
"2016-08-28 03:24:51","0","",
"2016-08-28 03:37:11","0","",
"2016-08-28 03:49:31","0","",
"2016-08-28 04:01:50","0","",
"2016-08-28 04:14:09","0","",
"2016-08-28 04:26:29","0","",
"2016-08-28 04:38:48","0","",
"2016-08-28 04:51:08","0","",
"2016-08-28 05:03:27","0","",
"2016-08-28 05:15:46","0","",
"2016-08-28 05:28:05","0","",
"2016-08-28 05:40:24","0","",
"2016-08-28 05:52:44","0","",
"2016-08-28 06:05:03","0","",
"2016-08-28 06:17:24","0","",
"2016-08-28 06:29:43","0","",
"2016-08-28 06:42:03","0","",
"2016-08-28 06:54:22","0","",
"2016-08-28 07:06:40","0","",
"2016-08-28 07:19:00","0","",
"2016-08-28 07:31:19","0","",
"2016-08-28 07:43:38","0","",
"2016-08-28 07:55:58","0","",
"2016-08-28 08:08:16","0","",
"2016-08-28 08:20:35","0","",
"2016-08-28 08:32:55","0","",
"2016-08-28 08:45:14","0","",
"2016-08-28 08:57:34","0","",
"2016-08-28 09:09:54","0","",
"2016-08-28 09:22:13","0","",
"2016-08-28 09:34:33","0","",
"2016-08-28 09:46:52","0","",
"2016-08-28 09:59:12","0","",
"2016-08-28 10:11:31","0","",
"2016-08-28 10:23:50","0","",
"2016-08-28 10:36:10","0","",
"2016-08-28 10:48:29","0","",
"2016-08-28 10:50:13","1","",
"2016-08-28 10:52:28","0","",
"2016-08-28 10:58:15","1","",
"2016-08-28 11:00:29","0","",
"2016-08-28 11:12:49","0","",
"2016-08-28 11:20:01","1","",
"2016-08-28 11:21:24","1","",
"2016-08-28 11:23:38","0","",
"2016-08-28 11:27:58","1","",
"2016-08-28 11:29:43","1","",
"2016-08-28 11:31:20","1","",
"2016-08-28 11:33:00","1","",
"2016-08-28 11:35:15","0","",
"2016-08-28 11:42:10","1","",
"2016-08-28 11:44:24","0","",
"2016-08-28 11:50:57","1","",
"2016-08-28 11:52:30","1","",
"2016-08-28 11:54:44","0","",
"2016-08-28 12:07:03","0","",
"2016-08-28 12:19:23","0","",
"2016-08-28 12:31:42","0","",
"2016-08-28 12:44:01","0","",
"2016-08-28 12:56:20","0","",
"2016-08-28 13:08:39","0","",
"2016-08-28 13:20:59","0","",
"2016-08-28 13:33:18","0","",
"2016-08-28 13:45:37","0","",
"2016-08-28 13:57:56","0","",
"2016-08-28 14:10:16","0","",
"2016-08-28 14:22:36","0","",
"2016-08-28 14:27:29","1","",
"2016-08-28 14:29:43","0","",
"2016-08-28 14:42:03","0","",
"2016-08-28 14:47:55","1","",
"2016-08-28 14:50:10","0","",
"2016-08-28 15:02:29","0","",
"2016-08-28 15:14:50","0","",
"2016-08-28 15:27:10","0","",
"2016-08-28 15:35:44","1","",
"2016-08-28 15:37:58","0","",
"2016-08-28 15:50:18","0","",
"2016-08-28 16:02:38","0","",
"2016-08-28 16:02:47","1","",
"2016-08-28 16:05:02","0","",
"2016-08-28 16:17:21","0","",
"2016-08-28 16:29:19","1","",
"2016-08-28 16:31:33","0","",
"2016-08-28 16:43:52","0","",
"2016-08-28 16:45:45","1","",
"2016-08-28 16:47:59","0","",
"2016-08-28 16:59:35","1","",
"2016-08-28 17:01:48","0","",
"2016-08-28 17:14:08","0","",
"2016-08-28 17:26:26","0","",
"2016-08-28 17:38:45","0","",
"2016-08-28 17:39:54","1","",
"2016-08-28 17:42:08","0","",
"2016-08-28 17:46:13","1","",
"2016-08-28 17:48:27","0","",
"2016-08-28 17:51:37","1","",
"2016-08-28 17:53:52","0","",
"2016-08-28 18:01:48","1","",
"2016-08-28 18:04:02","0","",
"2016-08-28 18:16:21","0","",
"2016-08-28 18:22:36","1","",
"2016-08-28 18:24:51","0","",
"2016-08-28 18:37:10","0","",
"2016-08-28 18:49:30","0","",
"2016-08-28 19:00:04","1","",
"2016-08-28 19:02:18","0","",
"2016-08-28 19:03:30","1","",
"2016-08-28 19:05:44","0","",
"2016-08-28 19:18:03","0","",
"2016-08-28 19:30:22","0","",
"2016-08-28 19:41:56","1","",
"2016-08-28 19:43:17","1","",
"2016-08-28 19:45:32","0","",
"2016-08-28 19:55:18","1","",
"2016-08-28 19:57:33","0","",
"2016-08-28 20:09:52","0","",
"2016-08-28 20:12:46","1","",
"2016-08-28 20:15:00","0","",
