"DateAndTime","OS_Corr266 (Bloomberg-2 East-Corridor 200E) Occupancy","",
"2016-10-05 00:01:00","1","",
"2016-10-05 00:01:52","1","",
"2016-10-05 00:02:43","1","",
"2016-10-05 00:04:06","1","",
"2016-10-05 00:05:47","0","",
"2016-10-05 00:07:08","1","",
"2016-10-05 00:08:49","0","",
"2016-10-05 00:09:49","1","",
"2016-10-05 00:11:31","0","",
"2016-10-05 00:13:32","1","",
"2016-10-05 00:15:06","1","",
"2016-10-05 00:16:02","1","",
"2016-10-05 00:17:18","1","",
"2016-10-05 00:19:00","0","",
"2016-10-05 00:22:55","1","",
"2016-10-05 00:23:58","1","",
"2016-10-05 00:25:01","1","",
"2016-10-05 00:26:43","0","",
"2016-10-05 00:33:46","1","",
"2016-10-05 00:35:28","0","",
"2016-10-05 00:37:36","1","",
"2016-10-05 00:39:17","0","",
"2016-10-05 00:45:21","1","",
"2016-10-05 00:47:03","0","",
"2016-10-05 00:49:36","1","",
"2016-10-05 00:51:07","1","",
"2016-10-05 00:52:49","0","",
"2016-10-05 00:57:45","1","",
"2016-10-05 00:59:27","0","",
"2016-10-05 01:01:27","1","",
"2016-10-05 01:03:08","0","",
"2016-10-05 01:12:27","0","",
"2016-10-05 01:21:45","0","",
"2016-10-05 01:31:04","0","",
"2016-10-05 01:36:32","1","",
"2016-10-05 01:37:24","1","",
"2016-10-05 01:38:58","1","",
"2016-10-05 01:40:40","0","",
"2016-10-05 01:41:05","1","",
"2016-10-05 01:42:36","1","",
"2016-10-05 01:44:17","0","",
"2016-10-05 01:53:35","0","",
"2016-10-05 01:55:03","1","",
"2016-10-05 01:56:18","1","",
"2016-10-05 01:57:59","0","",
"2016-10-05 02:03:00","1","",
"2016-10-05 02:04:41","0","",
"2016-10-05 02:08:52","1","",
"2016-10-05 02:10:33","0","",
"2016-10-05 02:11:58","1","",
"2016-10-05 02:13:40","0","",
"2016-10-05 02:20:26","1","",
"2016-10-05 02:22:08","0","",
"2016-10-05 02:31:26","0","",
"2016-10-05 02:40:43","0","",
"2016-10-05 02:48:38","1","",
"2016-10-05 02:49:41","1","",
"2016-10-05 02:51:23","0","",
"2016-10-05 02:58:39","1","",
"2016-10-05 02:59:54","1","",
"2016-10-05 03:01:35","0","",
"2016-10-05 03:10:53","0","",
"2016-10-05 03:20:10","0","",
"2016-10-05 03:29:28","0","",
"2016-10-05 03:38:46","0","",
"2016-10-05 03:41:57","1","",
"2016-10-05 03:43:38","0","",
"2016-10-05 03:43:39","1","",
"2016-10-05 03:45:20","0","",
"2016-10-05 03:54:38","0","",
"2016-10-05 04:03:56","0","",
"2016-10-05 04:13:14","0","",
"2016-10-05 04:22:31","0","",
"2016-10-05 04:31:49","0","",
"2016-10-05 04:41:07","0","",
"2016-10-05 04:50:24","0","",
"2016-10-05 04:59:41","0","",
"2016-10-05 05:08:59","0","",
"2016-10-05 05:18:16","0","",
"2016-10-05 05:27:34","0","",
"2016-10-05 05:36:51","0","",
"2016-10-05 05:46:09","0","",
"2016-10-05 05:55:26","0","",
"2016-10-05 05:59:45","1","",
"2016-10-05 06:01:26","0","",
"2016-10-05 06:10:43","0","",
"2016-10-05 06:10:53","1","",
"2016-10-05 06:12:35","0","",
"2016-10-05 06:13:34","1","",
"2016-10-05 06:15:16","0","",
"2016-10-05 06:24:33","0","",
"2016-10-05 06:33:50","0","",
"2016-10-05 06:43:08","0","",
"2016-10-05 06:52:26","0","",
"2016-10-05 06:59:52","1","",
"2016-10-05 07:00:48","1","",
"2016-10-05 07:02:30","0","",
"2016-10-05 07:07:47","1","",
"2016-10-05 07:09:28","0","",
"2016-10-05 07:09:50","1","",
"2016-10-05 07:11:31","0","",
"2016-10-05 07:17:28","1","",
"2016-10-05 07:18:48","1","",
"2016-10-05 07:19:46","1","",
"2016-10-05 07:21:27","0","",
"2016-10-05 07:30:45","0","",
"2016-10-05 07:40:03","0","",
"2016-10-05 07:44:25","1","",
"2016-10-05 07:46:06","0","",
"2016-10-05 07:55:24","0","",
"2016-10-05 08:00:02","1","",
"2016-10-05 08:01:43","0","",
"2016-10-05 08:05:01","1","",
"2016-10-05 08:06:43","0","",
"2016-10-05 08:07:15","1","",
"2016-10-05 08:10:38","0","",
"2016-10-05 08:19:55","0","",
"2016-10-05 08:20:32","1","",
"2016-10-05 08:21:38","1","",
"2016-10-05 08:23:19","0","",
"2016-10-05 08:23:35","1","",
"2016-10-05 08:24:50","1","",
"2016-10-05 08:25:52","1","",
"2016-10-05 08:27:34","0","",
"2016-10-05 08:28:46","1","",
"2016-10-05 08:29:49","1","",
"2016-10-05 08:31:30","0","",
"2016-10-05 08:33:01","1","",
"2016-10-05 08:34:42","0","",
"2016-10-05 08:35:31","1","",
"2016-10-05 08:36:22","1","",
"2016-10-05 08:37:30","1","",
"2016-10-05 08:39:11","0","",
"2016-10-05 08:43:33","1","",
"2016-10-05 08:45:15","0","",
"2016-10-05 08:48:15","1","",
"2016-10-05 08:49:57","0","",
"2016-10-05 08:49:58","1","",
"2016-10-05 08:51:09","1","",
"2016-10-05 08:52:51","0","",
"2016-10-05 08:57:34","1","",
"2016-10-05 08:59:00","1","",
"2016-10-05 09:00:41","0","",
"2016-10-05 09:01:55","1","",
"2016-10-05 09:03:09","1","",
"2016-10-05 09:04:51","0","",
"2016-10-05 09:05:50","1","",
"2016-10-05 09:06:43","1","",
"2016-10-05 09:07:50","1","",
"2016-10-05 09:09:14","1","",
"2016-10-05 09:10:55","0","",
"2016-10-05 09:12:17","1","",
"2016-10-05 09:13:48","1","",
"2016-10-05 09:14:49","1","",
"2016-10-05 09:16:30","0","",
"2016-10-05 09:18:55","1","",
"2016-10-05 09:20:36","0","",
"2016-10-05 09:23:07","1","",
"2016-10-05 09:24:40","1","",
"2016-10-05 09:25:39","1","",
"2016-10-05 09:27:19","1","",
"2016-10-05 09:29:01","0","",
"2016-10-05 09:30:09","1","",
"2016-10-05 09:31:14","1","",
"2016-10-05 09:32:56","0","",
"2016-10-05 09:42:13","0","",
"2016-10-05 09:49:56","1","",
"2016-10-05 09:51:37","0","",
"2016-10-05 09:53:33","1","",
"2016-10-05 09:55:14","0","",
"2016-10-05 10:04:31","0","",
"2016-10-05 10:13:49","0","",
"2016-10-05 10:17:42","1","",
"2016-10-05 10:18:44","1","",
"2016-10-05 10:20:26","0","",
"2016-10-05 10:29:44","0","",
"2016-10-05 10:34:24","1","",
"2016-10-05 10:35:37","1","",
"2016-10-05 10:37:18","0","",
"2016-10-05 10:38:31","1","",
"2016-10-05 10:40:12","0","",
"2016-10-05 10:42:03","1","",
"2016-10-05 10:43:45","0","",
"2016-10-05 10:44:37","1","",
"2016-10-05 10:45:28","1","",
"2016-10-05 10:47:10","0","",
"2016-10-05 10:56:03","1","",
"2016-10-05 10:57:44","0","",
"2016-10-05 11:04:36","1","",
"2016-10-05 11:06:18","0","",
"2016-10-05 11:06:39","1","",
"2016-10-05 11:08:21","0","",
"2016-10-05 11:09:26","1","",
"2016-10-05 11:10:26","1","",
"2016-10-05 11:11:16","1","",
"2016-10-05 11:12:58","0","",
"2016-10-05 11:13:00","1","",
"2016-10-05 11:14:42","0","",
"2016-10-05 11:21:31","1","",
"2016-10-05 11:22:42","1","",
"2016-10-05 11:24:24","0","",
"2016-10-05 11:26:34","1","",
"2016-10-05 11:27:26","1","",
"2016-10-05 11:29:08","0","",
"2016-10-05 11:38:25","0","",
"2016-10-05 11:47:43","0","",
"2016-10-05 11:49:48","1","",
"2016-10-05 11:51:30","0","",
"2016-10-05 11:57:08","1","",
"2016-10-05 11:58:35","1","",
"2016-10-05 12:00:07","1","",
"2016-10-05 12:01:02","1","",
"2016-10-05 12:02:43","0","",
"2016-10-05 12:05:50","1","",
"2016-10-05 12:07:32","0","",
"2016-10-05 12:08:10","1","",
"2016-10-05 12:09:51","0","",
"2016-10-05 12:12:11","1","",
"2016-10-05 12:13:28","1","",
"2016-10-05 12:14:29","1","",
"2016-10-05 12:16:10","0","",
"2016-10-05 12:22:51","1","",
"2016-10-05 12:24:32","0","",
"2016-10-05 12:26:02","1","",
"2016-10-05 12:27:44","0","",
"2016-10-05 12:30:45","1","",
"2016-10-05 12:31:50","1","",
"2016-10-05 12:33:31","0","",
"2016-10-05 12:38:25","1","",
"2016-10-05 12:40:06","0","",
"2016-10-05 12:41:29","1","",
"2016-10-05 12:43:11","0","",
"2016-10-05 12:43:13","1","",
"2016-10-05 12:44:06","1","",
"2016-10-05 12:45:05","1","",
"2016-10-05 12:46:46","0","",
"2016-10-05 12:51:53","1","",
"2016-10-05 12:53:34","0","",
"2016-10-05 12:54:49","1","",
"2016-10-05 12:55:54","1","",
"2016-10-05 12:56:45","1","",
"2016-10-05 12:58:26","0","",
"2016-10-05 13:03:06","1","",
"2016-10-05 13:04:12","1","",
"2016-10-05 13:05:14","1","",
"2016-10-05 13:06:06","1","",
"2016-10-05 13:07:47","0","",
"2016-10-05 13:11:42","1","",
"2016-10-05 13:13:24","0","",
"2016-10-05 13:14:37","1","",
"2016-10-05 13:16:18","0","",
"2016-10-05 13:22:30","1","",
"2016-10-05 13:23:28","1","",
"2016-10-05 13:25:10","0","",
"2016-10-05 13:25:38","1","",
"2016-10-05 13:27:19","0","",
"2016-10-05 13:34:24","1","",
"2016-10-05 13:36:05","0","",
"2016-10-05 13:44:10","1","",
"2016-10-05 13:45:51","0","",
"2016-10-05 13:48:18","1","",
"2016-10-05 13:49:18","1","",
"2016-10-05 13:50:58","1","",
"2016-10-05 13:52:40","0","",
"2016-10-05 13:53:57","1","",
"2016-10-05 13:55:38","0","",
"2016-10-05 13:57:39","1","",
"2016-10-05 13:59:20","0","",
"2016-10-05 14:08:38","0","",
"2016-10-05 14:17:56","0","",
"2016-10-05 14:18:03","1","",
"2016-10-05 14:19:44","0","",
"2016-10-05 14:22:56","1","",
"2016-10-05 14:24:38","0","",
"2016-10-05 14:33:56","0","",
"2016-10-05 14:34:54","1","",
"2016-10-05 14:36:35","0","",
"2016-10-05 14:37:08","1","",
"2016-10-05 14:38:49","0","",
"2016-10-05 14:48:07","0","",
"2016-10-05 14:55:36","1","",
"2016-10-05 14:57:18","0","",
"2016-10-05 15:04:42","1","",
"2016-10-05 15:06:24","0","",
"2016-10-05 15:10:24","1","",
"2016-10-05 15:12:05","0","",
"2016-10-05 15:21:23","0","",
"2016-10-05 15:27:31","1","",
"2016-10-05 15:29:12","0","",
"2016-10-05 15:30:42","1","",
"2016-10-05 15:32:24","0","",
"2016-10-05 15:41:41","0","",
"2016-10-05 15:50:18","1","",
"2016-10-05 15:51:25","1","",
"2016-10-05 15:53:06","0","",
"2016-10-05 15:54:44","1","",
"2016-10-05 15:56:26","0","",
"2016-10-05 16:02:30","1","",
"2016-10-05 16:04:11","0","",
"2016-10-05 16:06:14","1","",
"2016-10-05 16:07:55","0","",
"2016-10-05 16:17:13","0","",
"2016-10-05 16:22:32","1","",
"2016-10-05 16:23:59","1","",
"2016-10-05 16:25:24","1","",
"2016-10-05 16:27:05","0","",
"2016-10-05 16:27:29","1","",
"2016-10-05 16:30:25","1","",
"2016-10-05 16:32:06","0","",
"2016-10-05 16:41:24","0","",
"2016-10-05 16:47:19","1","",
"2016-10-05 16:48:30","1","",
"2016-10-05 16:50:11","0","",
"2016-10-05 16:56:00","1","",
"2016-10-05 16:57:34","1","",
"2016-10-05 16:59:16","0","",
"2016-10-05 17:04:45","1","",
"2016-10-05 17:05:56","1","",
"2016-10-05 17:07:37","0","",
"2016-10-05 17:16:55","0","",
"2016-10-05 17:17:33","1","",
"2016-10-05 17:19:14","0","",
"2016-10-05 17:21:00","1","",
"2016-10-05 17:22:42","0","",
"2016-10-05 17:32:00","0","",
"2016-10-05 17:41:17","0","",
"2016-10-05 17:50:35","0","",
"2016-10-05 17:51:55","1","",
"2016-10-05 17:53:29","1","",
"2016-10-05 17:55:11","0","",
"2016-10-05 17:59:07","1","",
"2016-10-05 18:00:17","1","",
