DateAndTime,OS_bloom-hall131 (Bloomberg-1 West-Hall 131) Occupancy
10/5/16 0:06,0
10/5/16 0:10,1
10/5/16 0:11,1
10/5/16 0:13,0
10/5/16 0:24,0
10/5/16 0:34,0
10/5/16 0:45,0
10/5/16 0:55,0
10/5/16 1:04,1
10/5/16 1:06,0
10/5/16 1:17,0
10/5/16 1:27,0
10/5/16 1:38,0
10/5/16 1:48,1
10/5/16 1:50,0
10/5/16 2:00,0
10/5/16 2:11,0
10/5/16 2:21,0
10/5/16 2:31,0
10/5/16 2:34,1
10/5/16 2:36,0
10/5/16 2:46,0
10/5/16 2:57,0
10/5/16 3:07,0
10/5/16 3:18,0
10/5/16 3:28,0
10/5/16 3:38,0
10/5/16 3:49,0
10/5/16 3:59,0
10/5/16 4:10,0
10/5/16 4:15,1
10/5/16 4:17,0
10/5/16 4:27,0
10/5/16 4:37,0
10/5/16 4:48,0
10/5/16 4:58,0
10/5/16 5:09,0
10/5/16 5:19,0
10/5/16 5:30,0
10/5/16 5:40,0
10/5/16 5:51,0
10/5/16 6:01,0
10/5/16 6:12,0
10/5/16 6:22,0
10/5/16 6:32,0
10/5/16 6:43,0
10/5/16 6:53,0
10/5/16 7:04,0
10/5/16 7:14,0
10/5/16 7:25,0
10/5/16 7:35,0
10/5/16 7:35,1
10/5/16 7:36,1
10/5/16 7:38,0
10/5/16 7:46,1
10/5/16 7:48,0
10/5/16 7:58,0
10/5/16 8:09,0
10/5/16 8:19,0
10/5/16 8:29,0
10/5/16 8:40,0
10/5/16 8:46,1
10/5/16 8:48,1
10/5/16 8:49,1
10/5/16 8:50,0
10/5/16 8:53,1
10/5/16 8:54,1
10/5/16 8:56,0
10/5/16 9:07,0
10/5/16 9:08,1
10/5/16 9:09,1
10/5/16 9:10,1
10/5/16 9:12,0
10/5/16 9:12,1
10/5/16 9:14,0
10/5/16 9:15,1
10/5/16 9:17,0
10/5/16 9:27,0
10/5/16 9:38,0
10/5/16 9:48,0
10/5/16 9:59,0
10/5/16 10:09,0
10/5/16 10:19,0
10/5/16 10:30,0
10/5/16 10:40,0
10/5/16 10:51,0
10/5/16 11:01,0
10/5/16 11:12,0
10/5/16 11:22,0
10/5/16 11:33,0
10/5/16 11:43,0
10/5/16 11:54,0
10/5/16 12:04,0
10/5/16 12:04,1
10/5/16 12:05,1
10/5/16 12:07,0
10/5/16 12:10,1
10/5/16 12:11,1
10/5/16 12:13,0
10/5/16 12:24,0
10/5/16 12:34,0
10/5/16 12:44,1
10/5/16 12:46,0
10/5/16 12:46,1
10/5/16 12:48,1
10/5/16 12:49,1
10/5/16 12:51,0
10/5/16 13:01,0
10/5/16 13:12,0
10/5/16 13:22,0
10/5/16 13:33,0
10/5/16 13:43,0
10/5/16 13:54,0
10/5/16 14:04,0
10/5/16 14:15,0
10/5/16 14:25,0
10/5/16 14:36,0
10/5/16 14:46,0
10/5/16 14:56,0
10/5/16 15:07,0
10/5/16 15:17,0
10/5/16 15:28,0
10/5/16 15:38,0
10/5/16 15:49,0
10/5/16 15:59,0
10/5/16 16:10,0
10/5/16 16:20,0
10/5/16 16:25,1
10/5/16 16:26,1
10/5/16 16:28,0
10/5/16 16:29,1
10/5/16 16:30,1
10/5/16 16:31,1
10/5/16 16:33,0
10/5/16 16:34,1
10/5/16 16:34,1
10/5/16 16:35,1
10/5/16 16:37,0
10/5/16 16:48,0
10/5/16 16:58,0
10/5/16 17:09,0
10/5/16 17:19,0
10/5/16 17:30,0
10/5/16 17:40,0
10/5/16 17:51,0
10/5/16 17:53,1
10/5/16 17:55,0
10/5/16 18:05,0
10/5/16 18:12,1
10/5/16 18:14,0
10/5/16 18:24,0
10/5/16 18:35,0
10/5/16 18:45,0
10/5/16 18:55,1
10/5/16 18:56,1
10/5/16 18:58,1
10/5/16 18:59,1
10/5/16 19:00,1
10/5/16 19:02,1
10/5/16 19:03,0
10/5/16 19:14,0
10/5/16 19:16,1
10/5/16 19:18,0
10/5/16 19:29,0
10/5/16 19:33,1
10/5/16 19:35,0
10/5/16 19:36,1
10/5/16 19:37,1
10/5/16 19:39,0
10/5/16 19:46,1
10/5/16 19:47,1
10/5/16 19:48,1
10/5/16 19:50,1
10/5/16 19:52,0
10/5/16 19:53,1
10/5/16 19:54,1
10/5/16 19:56,0
10/5/16 20:05,1
10/5/16 20:06,0
10/5/16 20:07,1
10/5/16 20:09,0
10/5/16 20:20,0
10/5/16 20:26,1
10/5/16 20:28,0
10/5/16 20:30,1
10/5/16 20:32,0
10/5/16 20:41,1
10/5/16 20:42,1
10/5/16 20:43,1
10/5/16 20:45,0
10/5/16 20:45,1
10/5/16 20:47,0
10/5/16 20:57,0
10/5/16 21:08,0
10/5/16 21:18,0
10/5/16 21:29,0
10/5/16 21:39,0
10/5/16 21:50,0
10/5/16 22:00,0
10/5/16 22:01,1
10/5/16 22:03,1
10/5/16 22:05,1
10/5/16 22:06,1
10/5/16 22:07,1
10/5/16 22:09,1
10/5/16 22:11,0
10/5/16 22:13,1
10/5/16 22:14,1
10/5/16 22:15,1
10/5/16 22:17,0
10/5/16 22:23,1
10/5/16 22:24,1
10/5/16 22:25,1
10/5/16 22:27,0
10/5/16 22:38,0
10/5/16 22:48,0
10/5/16 22:59,0
10/5/16 23:04,1
10/5/16 23:06,0
10/5/16 23:08,1
10/5/16 23:10,1
10/5/16 23:12,0
10/5/16 23:22,0
10/5/16 23:23,1
10/5/16 23:24,1
10/5/16 23:25,1
10/5/16 23:26,1
10/5/16 23:28,0
10/5/16 23:28,1
10/5/16 23:30,0
10/5/16 23:33,1
10/5/16 23:35,0
10/5/16 23:36,1
10/5/16 23:38,0
10/5/16 23:38,1
10/5/16 23:40,0
10/5/16 23:48,1
10/5/16 23:49,1
10/5/16 23:51,0
