"DateAndTime","OS_bloom-hall132 (Bloomberg-1 West-Hall 132) Occupancy","",
"2016-10-05 00:01:02","1","",
"2016-10-05 00:02:53","0","",
"2016-10-05 00:04:26","1","",
"2016-10-05 00:06:17","0","",
"2016-10-05 00:10:35","1","",
"2016-10-05 00:12:26","0","",
"2016-10-05 00:22:37","0","",
"2016-10-05 00:32:47","0","",
"2016-10-05 00:42:57","0","",
"2016-10-05 00:44:49","1","",
"2016-10-05 00:46:01","1","",
"2016-10-05 00:47:25","1","",
"2016-10-05 00:49:16","0","",
"2016-10-05 00:59:25","0","",
"2016-10-05 01:09:34","0","",
"2016-10-05 01:19:44","0","",
"2016-10-05 01:29:53","0","",
"2016-10-05 01:40:02","0","",
"2016-10-05 01:50:12","0","",
"2016-10-05 02:00:21","0","",
"2016-10-05 02:10:30","0","",
"2016-10-05 02:20:39","0","",
"2016-10-05 02:30:49","0","",
"2016-10-05 02:31:08","1","",
"2016-10-05 02:32:59","0","",
"2016-10-05 02:36:32","1","",
"2016-10-05 02:38:23","0","",
"2016-10-05 02:48:32","0","",
"2016-10-05 02:50:12","1","",
"2016-10-05 02:52:03","0","",
"2016-10-05 03:02:12","0","",
"2016-10-05 03:12:22","0","",
"2016-10-05 03:22:32","0","",
"2016-10-05 03:32:42","0","",
"2016-10-05 03:42:52","0","",
"2016-10-05 03:53:02","0","",
"2016-10-05 04:03:12","0","",
"2016-10-05 04:13:21","0","",
"2016-10-05 04:23:30","0","",
"2016-10-05 04:33:40","0","",
"2016-10-05 04:43:49","0","",
"2016-10-05 04:53:58","0","",
"2016-10-05 05:04:06","0","",
"2016-10-05 05:14:15","0","",
"2016-10-05 05:24:24","0","",
"2016-10-05 05:28:34","1","",
"2016-10-05 05:30:25","0","",
"2016-10-05 05:40:34","0","",
"2016-10-05 05:50:43","0","",
"2016-10-05 06:00:52","0","",
"2016-10-05 06:11:01","0","",
"2016-10-05 06:21:10","0","",
"2016-10-05 06:31:19","0","",
"2016-10-05 06:41:28","0","",
"2016-10-05 06:51:37","0","",
"2016-10-05 07:01:46","0","",
"2016-10-05 07:11:54","0","",
"2016-10-05 07:22:03","0","",
"2016-10-05 07:29:31","1","",
"2016-10-05 07:31:22","0","",
"2016-10-05 07:39:42","1","",
"2016-10-05 07:40:49","1","",
"2016-10-05 07:42:28","1","",
"2016-10-05 07:44:19","0","",
"2016-10-05 07:54:28","0","",
"2016-10-05 08:04:37","0","",
"2016-10-05 08:14:46","0","",
"2016-10-05 08:24:55","0","",
"2016-10-05 08:35:05","0","",
"2016-10-05 08:45:15","0","",
"2016-10-05 08:55:24","0","",
"2016-10-05 09:05:34","0","",
"2016-10-05 09:15:44","0","",
"2016-10-05 09:24:46","1","",
"2016-10-05 09:26:37","0","",
"2016-10-05 09:29:35","1","",
"2016-10-05 09:31:26","0","",
"2016-10-05 09:39:22","1","",
"2016-10-05 09:41:13","0","",
"2016-10-05 09:42:12","1","",
"2016-10-05 09:44:03","0","",
"2016-10-05 09:49:15","1","",
"2016-10-05 09:51:06","0","",
"2016-10-05 10:01:16","0","",
"2016-10-05 10:11:26","0","",
"2016-10-05 10:21:36","0","",
"2016-10-05 10:31:45","0","",
"2016-10-05 10:38:28","1","",
"2016-10-05 10:40:19","0","",
"2016-10-05 10:40:36","1","",
"2016-10-05 10:42:21","1","",
"2016-10-05 10:44:12","0","",
"2016-10-05 10:44:23","1","",
"2016-10-05 10:46:13","0","",
"2016-10-05 10:56:23","0","",
"2016-10-05 11:06:33","0","",
"2016-10-05 11:16:43","0","",
"2016-10-05 11:26:52","0","",
"2016-10-05 11:37:02","0","",
"2016-10-05 11:47:12","0","",
"2016-10-05 11:57:00","1","",
"2016-10-05 11:58:51","0","",
"2016-10-05 12:09:00","0","",
"2016-10-05 12:19:09","0","",
"2016-10-05 12:29:19","0","",
"2016-10-05 12:29:56","1","",
"2016-10-05 12:31:47","0","",
"2016-10-05 12:41:56","0","",
"2016-10-05 12:43:23","1","",
"2016-10-05 12:45:14","0","",
"2016-10-05 12:55:24","0","",
"2016-10-05 13:05:33","0","",
"2016-10-05 13:12:16","1","",
"2016-10-05 13:13:59","1","",
"2016-10-05 13:14:55","1","",
"2016-10-05 13:16:46","0","",
"2016-10-05 13:26:56","0","",
"2016-10-05 13:37:06","0","",
"2016-10-05 13:47:16","0","",
"2016-10-05 13:57:24","0","",
"2016-10-05 14:04:50","1","",
"2016-10-05 14:06:40","0","",
"2016-10-05 14:16:49","0","",
"2016-10-05 14:26:57","0","",
"2016-10-05 14:37:05","0","",
"2016-10-05 14:47:14","0","",
"2016-10-05 14:57:22","0","",
"2016-10-05 15:01:38","1","",
"2016-10-05 15:02:50","1","",
"2016-10-05 15:04:41","0","",
"2016-10-05 15:14:49","0","",
"2016-10-05 15:24:58","0","",
"2016-10-05 15:35:06","0","",
"2016-10-05 15:45:14","0","",
"2016-10-05 15:52:40","1","",
"2016-10-05 15:54:31","0","",
"2016-10-05 15:55:11","1","",
"2016-10-05 15:57:02","0","",
"2016-10-05 15:57:05","1","",
"2016-10-05 15:58:56","0","",
"2016-10-05 16:09:04","0","",
"2016-10-05 16:19:12","0","",
"2016-10-05 16:29:21","0","",
"2016-10-05 16:39:29","0","",
"2016-10-05 16:49:37","0","",
"2016-10-05 16:59:45","0","",
"2016-10-05 16:59:55","1","",
"2016-10-05 17:01:35","1","",
"2016-10-05 17:03:26","0","",
"2016-10-05 17:03:30","1","",
"2016-10-05 17:05:20","0","",
"2016-10-05 17:08:51","1","",
"2016-10-05 17:10:41","0","",
"2016-10-05 17:13:51","1","",
"2016-10-05 17:15:41","0","",
"2016-10-05 17:25:50","0","",
"2016-10-05 17:30:50","1","",
"2016-10-05 17:31:58","1","",
"2016-10-05 17:33:48","0","",
"2016-10-05 17:43:57","0","",
"2016-10-05 17:50:07","1","",
"2016-10-05 17:51:57","0","",
"2016-10-05 18:00:31","1","",
"2016-10-05 18:02:22","0","",
"2016-10-05 18:03:52","1","",
"2016-10-05 18:04:49","1","",
"2016-10-05 18:06:40","0","",
"2016-10-05 18:16:48","0","",
"2016-10-05 18:18:22","1","",
"2016-10-05 18:20:13","0","",
"2016-10-05 18:20:42","1","",
"2016-10-05 18:22:30","1","",
"2016-10-05 18:24:21","0","",
"2016-10-05 18:25:00","1","",
"2016-10-05 18:26:29","1","",
"2016-10-05 18:28:20","0","",
"2016-10-05 18:38:28","0","",
"2016-10-05 18:46:57","1","",
"2016-10-05 18:48:48","0","",
"2016-10-05 18:57:15","1","",
"2016-10-05 18:59:06","0","",
"2016-10-05 19:05:43","1","",
"2016-10-05 19:07:23","1","",
"2016-10-05 19:09:13","0","",
"2016-10-05 19:10:01","1","",
"2016-10-05 19:11:52","0","",
"2016-10-05 19:14:18","1","",
"2016-10-05 19:16:08","0","",
"2016-10-05 19:26:16","0","",
"2016-10-05 19:32:02","1","",
"2016-10-05 19:32:59","1","",
"2016-10-05 19:34:49","0","",
"2016-10-05 19:44:58","0","",
"2016-10-05 19:47:27","1","",
"2016-10-05 19:49:18","0","",
"2016-10-05 19:59:27","0","",
"2016-10-05 20:09:36","0","",
"2016-10-05 20:15:50","1","",
"2016-10-05 20:17:41","0","",
"2016-10-05 20:19:57","1","",
"2016-10-05 20:21:48","0","",
"2016-10-05 20:27:49","1","",
"2016-10-05 20:29:40","0","",
"2016-10-05 20:29:41","1","",
"2016-10-05 20:31:32","0","",
"2016-10-05 20:41:41","0","",
"2016-10-05 20:51:50","0","",
"2016-10-05 21:01:59","0","",
"2016-10-05 21:02:56","1","",
"2016-10-05 21:04:47","0","",
"2016-10-05 21:06:06","1","",
"2016-10-05 21:07:57","0","",
"2016-10-05 21:10:12","1","",
"2016-10-05 21:12:03","0","",
"2016-10-05 21:13:22","1","",
"2016-10-05 21:15:13","0","",
"2016-10-05 21:15:55","1","",
"2016-10-05 21:17:15","1","",
"2016-10-05 21:18:23","1","",
"2016-10-05 21:19:46","1","",
"2016-10-05 21:21:36","0","",
"2016-10-05 21:22:39","1","",
"2016-10-05 21:23:35","1","",
"2016-10-05 21:24:37","1","",
"2016-10-05 21:26:28","0","",
"2016-10-05 21:36:36","0","",
"2016-10-05 21:44:37","1","",
"2016-10-05 21:46:27","0","",
"2016-10-05 21:46:43","1","",
"2016-10-05 21:48:33","0","",
"2016-10-05 21:52:06","1","",
"2016-10-05 21:53:57","0","",
"2016-10-05 21:59:25","1","",
"2016-10-05 22:01:17","0","",
"2016-10-05 22:01:53","1","",
"2016-10-05 22:03:05","1","",
"2016-10-05 22:04:56","0","",
"2016-10-05 22:06:26","1","",
"2016-10-05 22:07:23","1","",
"2016-10-05 22:08:31","1","",
"2016-10-05 22:10:01","1","",
"2016-10-05 22:11:18","1","",
"2016-10-05 22:13:04","1","",
"2016-10-05 22:14:00","1","",
"2016-10-05 22:15:01","1","",
"2016-10-05 22:16:38","1","",
"2016-10-05 22:18:29","0","",
"2016-10-05 22:23:02","1","",
"2016-10-05 22:24:53","0","",
"2016-10-05 22:27:54","1","",
"2016-10-05 22:29:45","0","",
"2016-10-05 22:30:04","1","",
"2016-10-05 22:31:24","1","",
"2016-10-05 22:33:14","0","",
"2016-10-05 22:40:50","1","",
"2016-10-05 22:42:41","0","",
"2016-10-05 22:47:37","1","",
"2016-10-05 22:49:28","0","",
"2016-10-05 22:58:08","1","",
"2016-10-05 22:59:54","1","",
"2016-10-05 23:01:23","1","",
"2016-10-05 23:02:32","1","",
"2016-10-05 23:03:28","1","",
"2016-10-05 23:05:19","0","",
"2016-10-05 23:12:06","1","",
"2016-10-05 23:13:13","1","",
"2016-10-05 23:15:03","0","",
"2016-10-05 23:25:11","0","",
"2016-10-05 23:35:20","0","",
"2016-10-05 23:37:20","1","",
"2016-10-05 23:38:15","1","",
"2016-10-05 23:39:11","1","",
"2016-10-05 23:40:06","1","",
"2016-10-05 23:41:57","0","",
"2016-10-05 23:47:52","1","",
"2016-10-05 23:49:43","0","",
"2016-10-05 23:52:06","1","",
"2016-10-05 23:53:08","1","",
"2016-10-05 23:54:09","1","",
"2016-10-05 23:55:48","1","",
"2016-10-05 23:57:39","0","",
