"DateAndTime","OS_corr122 (Bloomberg-1 West-Corridor 130) Occupancy","",
"2016-10-05 00:08:59","0","",
"2016-10-05 01:09:05","0","",
"2016-10-05 02:09:12","0","",
"2016-10-05 03:09:18","0","",
"2016-10-05 04:09:25","0","",
"2016-10-05 05:09:32","0","",
"2016-10-05 06:03:43","1","",
"2016-10-05 06:13:45","0","",
"2016-10-05 06:24:46","1","",
"2016-10-05 06:34:48","0","",
"2016-10-05 06:54:50","0","",
"2016-10-05 07:11:46","1","",
"2016-10-05 07:21:48","0","",
"2016-10-05 07:41:50","0","",
"2016-10-05 07:47:49","1","",
"2016-10-05 07:53:19","1","",
"2016-10-05 08:02:01","1","",
"2016-10-05 08:04:11","1","",
"2016-10-05 08:06:48","1","",
"2016-10-05 08:09:09","1","",
"2016-10-05 08:12:47","1","",
"2016-10-05 08:22:49","0","",
"2016-10-05 08:42:51","0","",
"2016-10-05 09:18:38","1","",
"2016-10-05 09:28:40","0","",
"2016-10-05 09:48:42","0","",
"2016-10-05 10:48:47","0","",
"2016-10-05 11:39:28","1","",
"2016-10-05 11:49:30","0","",
"2016-10-05 12:09:32","0","",
"2016-10-05 13:09:38","0","",
"2016-10-05 14:09:44","0","",
"2016-10-05 14:30:09","1","",
"2016-10-05 14:40:11","0","",
"2016-10-05 15:00:13","0","",
"2016-10-05 15:25:19","1","",
"2016-10-05 15:35:22","0","",
"2016-10-05 15:41:15","1","",
"2016-10-05 15:51:17","0","",
"2016-10-05 16:07:34","1","",
"2016-10-05 16:17:36","0","",
"2016-10-05 16:32:13","1","",
"2016-10-05 16:36:53","1","",
"2016-10-05 16:46:55","0","",
"2016-10-05 17:04:55","1","",
"2016-10-05 17:14:57","0","",
"2016-10-05 17:35:00","0","",
"2016-10-05 17:59:04","1","",
"2016-10-05 18:09:05","0","",
"2016-10-05 18:29:08","0","",
"2016-10-05 18:30:51","1","",
"2016-10-05 18:40:53","0","",
"2016-10-05 18:54:38","1","",
"2016-10-05 19:04:39","0","",
"2016-10-05 19:08:31","1","",
"2016-10-05 19:11:59","1","",
"2016-10-05 19:22:01","0","",
"2016-10-05 19:34:31","1","",
"2016-10-05 19:36:45","1","",
"2016-10-05 19:43:06","1","",
"2016-10-05 19:50:58","1","",
"2016-10-05 20:01:01","0","",
"2016-10-05 20:21:03","0","",
"2016-10-05 20:50:14","1","",
"2016-10-05 21:00:16","0","",
"2016-10-05 21:00:19","1","",
"2016-10-05 21:10:21","0","",
"2016-10-05 21:22:11","1","",
"2016-10-05 21:26:56","1","",
"2016-10-05 21:36:58","0","",
"2016-10-05 21:38:35","1","",
"2016-10-05 21:48:37","0","",
"2016-10-05 22:08:40","0","",
"2016-10-05 22:13:03","1","",
"2016-10-05 22:23:05","0","",
"2016-10-05 22:43:07","0","",
"2016-10-05 23:06:23","1","",
"2016-10-05 23:16:25","0","",
"2016-10-05 23:36:27","0","",
