"DateAndTime","OS_Corr264 (Bloomberg-2 East-Corridor 200E) Occupancy","",
"2016-09-25 00:00:23","0","",
"2016-09-25 00:10:13","0","",
"2016-09-25 00:10:24","1","",
"2016-09-25 00:12:11","0","",
"2016-09-25 00:22:02","0","",
"2016-09-25 00:31:52","0","",
"2016-09-25 00:33:38","1","",
"2016-09-25 00:35:26","0","",
"2016-09-25 00:42:54","1","",
"2016-09-25 00:44:41","0","",
"2016-09-25 00:54:31","0","",
"2016-09-25 01:04:21","0","",
"2016-09-25 01:04:56","1","",
"2016-09-25 01:06:44","0","",
"2016-09-25 01:07:03","1","",
"2016-09-25 01:08:50","0","",
"2016-09-25 01:12:05","1","",
"2016-09-25 01:13:04","1","",
"2016-09-25 01:14:52","0","",
"2016-09-25 01:15:46","1","",
"2016-09-25 01:17:05","1","",
"2016-09-25 01:18:52","0","",
"2016-09-25 01:21:16","1","",
"2016-09-25 01:23:04","0","",
"2016-09-25 01:25:35","1","",
"2016-09-25 01:27:23","0","",
"2016-09-25 01:31:08","1","",
"2016-09-25 01:32:55","1","",
"2016-09-25 01:34:42","0","",
"2016-09-25 01:41:38","1","",
"2016-09-25 01:43:25","0","",
"2016-09-25 01:43:35","1","",
"2016-09-25 01:45:23","0","",
"2016-09-25 01:45:52","1","",
"2016-09-25 01:47:39","0","",
"2016-09-25 01:53:11","1","",
"2016-09-25 01:54:58","0","",
"2016-09-25 02:02:49","1","",
"2016-09-25 02:04:37","0","",
"2016-09-25 02:14:27","0","",
"2016-09-25 02:21:20","1","",
"2016-09-25 02:23:07","0","",
"2016-09-25 02:27:17","1","",
"2016-09-25 02:29:04","0","",
"2016-09-25 02:38:54","0","",
"2016-09-25 02:39:34","1","",
"2016-09-25 02:40:34","1","",
"2016-09-25 02:42:21","0","",
"2016-09-25 02:42:55","1","",
"2016-09-25 02:44:15","1","",
"2016-09-25 02:45:22","1","",
"2016-09-25 02:47:10","0","",
"2016-09-25 02:49:25","1","",
"2016-09-25 02:51:12","0","",
"2016-09-25 02:55:23","1","",
"2016-09-25 02:57:10","0","",
"2016-09-25 02:57:24","1","",
"2016-09-25 02:58:47","1","",
"2016-09-25 02:59:52","1","",
"2016-09-25 03:01:39","0","",
"2016-09-25 03:10:26","1","",
"2016-09-25 03:11:54","1","",
"2016-09-25 03:13:41","0","",
"2016-09-25 03:18:46","1","",
"2016-09-25 03:20:33","0","",
"2016-09-25 03:20:57","1","",
"2016-09-25 03:22:44","0","",
"2016-09-25 03:32:34","0","",
"2016-09-25 03:40:16","1","",
"2016-09-25 03:42:03","0","",
"2016-09-25 03:51:53","0","",
"2016-09-25 03:56:36","1","",
"2016-09-25 03:58:23","0","",
"2016-09-25 04:06:24","1","",
"2016-09-25 04:08:12","0","",
"2016-09-25 04:08:38","1","",
"2016-09-25 04:10:26","0","",
"2016-09-25 04:20:15","0","",
"2016-09-25 04:30:05","0","",
"2016-09-25 04:39:55","0","",
"2016-09-25 04:49:45","0","",
"2016-09-25 04:59:04","1","",
"2016-09-25 05:00:51","0","",
"2016-09-25 05:01:02","1","",
"2016-09-25 05:02:49","0","",
"2016-09-25 05:12:39","0","",
"2016-09-25 05:22:29","0","",
"2016-09-25 05:30:12","1","",
"2016-09-25 05:31:58","1","",
"2016-09-25 05:32:53","1","",
"2016-09-25 05:34:40","0","",
"2016-09-25 05:44:30","0","",
"2016-09-25 05:54:20","0","",
"2016-09-25 06:04:09","0","",
"2016-09-25 06:13:59","0","",
"2016-09-25 06:23:49","0","",
"2016-09-25 06:30:19","1","",
"2016-09-25 06:31:16","1","",
"2016-09-25 06:33:03","0","",
